Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,A0fit,fitR2,Expe
PPG1,0,0.0,0.22687888625,864.490669425798,406.79782065525296,310.0,378.0,-1.1545524485419765e-05,528.4311588511276,17.0,0.10162101337373375,0.0,0.5723861658002518,105.0,404.40307856259705,2.0,0.008851158108465958,ExpDel,528.4311588511276,17.0,1251.4589600667268,0.24104438131366066,0.993,211105_Degas
PPG1,1,30.0,0.227435065,862.3748756541592,406.4465614858652,311.0,380.0,0.00017189376037656366,,,,,,,,,,,,,,,,211105_Degas
PPG1,2,60.0,0.228818905,859.8845973250566,405.87464545819176,310.0,380.0,0.0003004817239641465,,,,,,,,,,,,,,,,211105_Degas
PPG1,3,90.0,0.23053068625,857.3668748236557,405.0858300339775,312.0,381.0,0.00037947359903293357,,,,,,,,,,,,,,,,211105_Degas
PPG1,4,120.0,0.23150850375,854.7108600238839,404.6788310596632,313.0,382.0,0.0004150688871195376,,,,,,,,,,,,,,,,211105_Degas
PPG1,5,150.0,0.2358294,851.6173530342708,407.383790823572,316.0,384.0,0.000413897664212079,,,,,,,,,,,,,,,,211105_Degas
PPG1,6,180.0,0.2398487825,847.8278041616966,411.462029638398,319.0,385.0,0.0003694532390910066,,,,,,,,,,,,,,,,211105_Degas
PPG1,7,210.0,0.2427894425,844.153362488469,415.4905921134692,319.0,387.6449113548166,0.00030365026201301175,,,,,,,,,,,,,,,,211105_Degas
PPG1,8,240.0,0.24346935,839.532675199069,415.3913580664649,321.0,386.0,0.0002527307938053691,,,,,,,,,,,,,,,,211105_Degas
PPG1,9,270.0,0.24606284875,838.2332537646488,417.8410327268581,321.0,387.0,0.0002116659984047134,,,,,,,,,,,,,,,,211105_Degas
PPG1,10,300.0,0.246808825,836.2173066181929,417.3918491967611,324.0,387.0,0.00017187990508530713,,,,,,,,,,,,,,,,211105_Degas
PPG1,11,330.0,0.24874644125,832.7248692504677,417.7324411188554,324.0,388.8815768926214,0.00011976980034606079,,,,,,,,,,,,,,,,211105_Degas
PPG1,12,360.0,0.2486851775,828.151591427654,418.5360799374095,325.0,385.0,7.104136345226137e-05,,,,,,,,,,,,,,,,211105_Degas
PPG1,13,390.0,0.24837645625,822.6158637576932,418.0106748577459,326.0,384.0,4.207999095734592e-05,,,,,,,,,,,,,,,,211105_Degas
PPG1,14,420.0,0.249903245,819.4155698513773,417.17937871598303,329.0,385.7141729215326,3.035973173081165e-05,,,,,,,,,,,,,,,,211105_Degas
PPG1,15,450.0,0.25151292,815.8630886493407,417.2022376995183,330.0,385.0,2.388681291814269e-05,,,,,,,,,,,,,,,,211105_Degas
PPG1,16,480.0,0.2542926125,813.2228546831508,416.8232985325713,331.0,387.0,3.912647654712819e-05,,,,,,,,,,,,,,,,211105_Degas
PPG1,17,510.0,0.25287874125,806.127145608379,418.259169388174,333.0,384.0,0.00010687216624105767,,,,,,,,,,,,,,,,211105_Degas
PPG1,18,540.0,0.24786712625,797.175369709993,420.43435828385634,336.0,376.0,0.0002515309765663469,,,,,,,,,,,,,,,,211105_Degas
PPG1,19,570.0,0.249124835,789.4424577858503,421.6165061033738,337.0,375.0,0.00042500713156622165,,,,,,,,,,,,,,,,211105_Degas
PPG1,20,600.0,0.25562239625,787.2978168475247,424.15403851137546,340.0,381.0,0.0005866797636815087,,,,,,,,,,,,,,,,211105_Degas
PPG1,21,630.0,0.26234339,782.9681473801311,427.1113795746139,345.0,387.8067190643208,0.0007213241879922679,,,,,,,,,,,,,,,,211105_Degas
PPG1,22,660.0,0.26907399375,780.5586428012617,429.6121675214026,348.0,391.0,0.0008288215412772718,,,,,,,,,,,,,,,,211105_Degas
PPG1,23,690.0,0.2738393525,778.1325940180205,431.8383363625791,353.0,393.0,0.0009191484095287302,,,,,,,,,,,,,,,,211105_Degas
PPG1,24,720.0,0.28036093875,776.4497854845412,432.5142913574506,356.0,401.0,0.0009805527807581072,,,,,,,,,,,,,,,,211105_Degas
PPG1,25,750.0,0.29014391875,773.7830859531425,434.4760448855305,364.0,404.0,0.0010038027385595328,,,,,,,,,,,,,,,,211105_Degas
PPG1,26,780.0,0.29741868875,771.8374815016982,436.5455751385392,368.0,411.0,0.001016249769034202,,,,,,,,,,,,,,,,211105_Degas
PPG1,27,810.0,0.30811702125,768.271647715516,439.6985247329589,375.0,417.0,0.0010166783156270091,,,,,,,,,,,,,,,,211105_Degas
PPG1,28,840.0,0.31788798875,765.6325398082461,442.4242799234778,378.0,424.0,0.00101167409898675,,,,,,,,,,,,,,,,211105_Degas
PPG1,29,870.0,0.32697184125,762.8312094427488,444.2827640957333,381.0,436.0,0.0009854613890213095,,,,,,,,,,,,,,,,211105_Degas
