Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,A0fit,fitR2,Expe
PPG1,0,0.0,0.21255037625,470.1659936101337,282.3132073406037,346.0,342.0,-5.333030865849748e-05,383.0249743417878,12.0,0.08649633912020079,75.0,0.32248304123041727,200.0,633.144787277877,5.0,0.020151052276693397,ExpDel,383.0249743417878,12.0,1159.854847105893,0.21859369543146306,0.996,211222_Deg_Bsa
PPG1,1,30.0,0.21207948625,472.0570266007284,282.02348223222384,346.0,341.0,3.4557701465261075e-05,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,2,60.0,0.21313058,473.3443025980787,282.7611762924743,346.0,343.0,0.00011465314463904166,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,3,90.0,0.21332878625,474.2139016889421,282.7260517739403,346.0,341.0,0.00018538616359107626,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,4,120.0,0.21385733625,475.3773841123125,283.0877966622147,347.0,341.0,0.00024543943830911027,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,5,150.0,0.2158430025,476.7665955305122,283.1657843050099,349.0,342.0,0.00029373436811915547,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,6,180.0,0.2181974525,478.58557187872685,283.67231449566464,351.0,342.0,0.0003240335384488316,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,7,210.0,0.2199608875,480.13708157318285,283.9830071999596,354.0,344.0,0.00034227370485603116,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,8,240.0,0.222466695,481.96018298767245,284.62623131747443,355.0,345.0,0.000350950123864388,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,9,270.0,0.225090225,483.6456135920823,284.94364297574623,357.0,346.0,0.000353768726231426,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,10,300.0,0.22736178875,485.14989539062793,285.234919705352,359.0,348.0,0.0003551026617543099,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,11,330.0,0.229991325,487.1250958465015,285.4843533976317,361.0,348.83748701447814,0.00035771226654191034,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,12,360.0,0.2319541675,488.2148526015535,285.52196208207715,361.0,350.0,0.0003698915915145802,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,13,390.0,0.2343326425,488.82197317665145,285.4256691120435,365.0,351.0,0.0003938150667317798,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,14,420.0,0.23694295875,489.6161883030868,285.0902107910824,366.0,354.0,0.00042920668446031477,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,15,450.0,0.240975555,491.3449582944786,285.52924571791334,370.0,356.0,0.0004700732260230465,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,16,480.0,0.24414805625,491.99368735391386,286.01459825042923,371.0,357.0,0.0005296212287725513,,,,,,,,,,,,,,,,211222_Deg_Bsa
PPG1,17,510.0,0.2481950675,493.1645310268625,286.6838052604134,374.0,359.0,0.0006073727486089215,,,,,,,,,,,,,,,,211222_Deg_Bsa
