Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,G,A0fit,fitR2,Expe
PPG1,0,0.0,0.2312468748,202.8462890564142,324.67008616185126,286.0,268.0,-0.00010923067381373957,481.1995842539877,14.0,0.024838865201400648,60.0,0.6067845222918438,130.0,1047.865210028917,2.0,-0.0068955847089282535,ExpDel,481.1995842539877,14.0,2544.1101294567443,0.5660132332036624,0.2291687500115017,0.988,220107_S1
PPG1,1,30.0,0.2275867738,202.0237184584093,329.22344418188607,288.0,263.0,-8.190880439313442e-05,,,,,,,,,,,,,,,,,220107_S1
PPG1,2,60.0,0.228864516,201.39481796369463,332.9198050181347,289.0,265.0,-6.722302968885806e-05,,,,,,,,,,,,,,,,,220107_S1
PPG1,3,90.0,0.2292803937999999,202.03201489477055,334.6566019848442,288.0,264.0,-6.030704143401571e-05,,,,,,,,,,,,,,,,,220107_S1
PPG1,4,120.0,0.2285954186,202.00472756635145,335.88577487524026,288.0,263.0,-5.62522165788994e-05,,,,,,,,,,,,,,,,,220107_S1
PPG1,5,150.0,0.2275039746,202.16237218958904,336.51601552758893,287.0,265.0,-5.010790227421784e-05,,,,,,,,,,,,,,,,,220107_S1
PPG1,6,180.0,0.2265724835999999,201.98277830131065,337.2508218162434,288.0,263.7465945390479,-3.080410574773389e-05,,,,,,,,,,,,,,,,,220107_S1
PPG1,7,210.0,0.2272593406,202.17849577262237,338.0932321266598,288.0,263.0,1.8719262421511475e-06,,,,,,,,,,,,,,,,,220107_S1
PPG1,8,240.0,0.2269300256,202.32959802725955,338.1093106991226,288.0,261.0,5.0877472348215474e-05,,,,,,,,,,,,,,,,,220107_S1
PPG1,9,270.0,0.22788598,203.0731177774992,339.4226615452433,289.0,260.0,0.00010978091758117243,,,,,,,,,,,,,,,,,220107_S1
PPG1,10,300.0,0.2279800699999999,202.9030645529426,340.09544281558937,288.0,262.0,0.00017491587427788198,,,,,,,,,,,,,,,,,220107_S1
PPG1,11,330.0,0.2288532251999999,203.29843659980452,340.61888169368297,289.0,264.0,0.0002440425505532011,,,,,,,,,,,,,,,,,220107_S1
PPG1,12,360.0,0.2293989472,203.06219562074097,340.9225711594088,288.0,263.0,0.0003012694057099625,,,,,,,,,,,,,,,,,220107_S1
PPG1,13,390.0,0.2322272926,203.3359769575989,341.3340059869813,291.0,265.0,0.00033132126820485213,,,,,,,,,,,,,,,,,220107_S1
PPG1,14,420.0,0.2361677818,204.1937226055558,344.4866163532941,296.0,266.0,0.0003367106733436869,,,,,,,,,,,,,,,,,220107_S1
PPG1,15,450.0,0.2393856597999999,204.8553274510273,348.6996085424008,300.0,266.0,0.00032405165653030945,,,,,,,,,,,,,,,,,220107_S1
PPG1,16,480.0,0.2410247076,205.5058396921181,352.3164821206998,301.0,268.0,0.000306004964546673,,,,,,,,,,,,,,,,,220107_S1
PPG1,17,510.0,0.2418715176,206.6534052751217,351.6720156066318,303.0,267.0,0.0002807691867785775,,,,,,,,,,,,,,,,,220107_S1
PPG1,18,540.0,0.2436573457999999,205.95719279814907,352.2381651121559,305.0,268.0,0.0002537005853424863,,,,,,,,,,,,,,,,,220107_S1
PPG1,19,570.0,0.24566899,206.68368844738436,351.17969206749973,306.0,271.0,0.00022185884809874972,,,,,,,,,,,,,,,,,220107_S1
PPG1,20,600.0,0.2481473205999999,207.03915960592084,349.4741908178921,308.0,270.0,0.00019723441191979636,,,,,,,,,,,,,,,,,220107_S1
PPG1,21,630.0,0.2502154188,207.0313652143004,349.11224828720503,310.0,270.0,0.00018216267973236312,,,,,,,,,,,,,,,,,220107_S1
PPG1,22,660.0,0.2511017466,208.2487158474767,349.28065229496684,312.0,269.0,0.00018283856122401987,,,,,,,,,,,,,,,,,220107_S1
PPG1,23,690.0,0.2534276514,208.84993069338955,348.80415272345465,315.0,272.8501223536099,0.00018743431415208845,,,,,,,,,,,,,,,,,220107_S1
PPG1,24,720.0,0.2530456459999999,211.6577958338304,346.52625587473835,317.0,267.0,0.0002162152999816273,,,,,,,,,,,,,,,,,220107_S1
