Ind,lum,whiteR,whiteG,whiteB
PPG1,206.48652786282915,205.46601347213718,207.1276791181874,206.86589099816288
PPG2,210.77136596055516,210.25164353542732,210.74324324324326,211.3192111029949
PPG3,210.59452209515743,210.01905972045742,210.6831850910631,211.0813214739517
PPG4,204.1280584683826,203.71369558309502,204.14617095646648,204.52430886558628
PPG7,208.11042012161417,207.21641791044777,208.61318407960198,208.5016583747927
PPG9,210.77650247090705,210.44763271162122,210.86657101865137,211.01530368244858
PPG10,208.58390725436183,207.67183195592287,209.02789256198346,209.05199724517905
PPG11,202.5009356287425,201.17627245508982,202.97136976047904,203.3551646706587
PPG12,210.50806900389537,209.779632721202,210.79820534223705,210.94636894824708
PPG14,204.3738646684832,203.12193460490462,204.7373978201635,205.26226158038148
PPG18,200.35422152009832,199.32174828857293,200.7661927330174,200.97472353870458
PPG20,207.5782496348725,207.18739467475564,207.57465453319853,207.97269969666328
PPG21,209.43848255244575,209.11952992113808,209.63383330756147,209.5620844286377
PPG22,210.13568847852267,209.72501003613007,210.35568044961863,210.32637494981935
PPG23,206.74770965468642,206.13742071881606,206.72727272727272,207.3784355179704
PPG24,208.92750316856782,208.7361216730038,209.17718631178707,208.86920152091255
PPG26,206.305387713998,205.38897280966768,206.59554380664653,206.93164652567975
PPG28,209.73218004164664,209.3921191734743,209.58481499279193,210.21960595867372
PPG29,209.39663931223137,208.81037514654162,209.56565064478312,209.8138921453693
PPG31,207.36961301671067,206.56662269129288,207.9967018469657,207.54551451187336
PPG32,207.58308641975307,206.2848148148148,207.99962962962962,208.46481481481482
PPG33,207.52728713768116,206.64028532608697,208.12058423913044,207.8209918478261
PPG35,204.35882086167803,204.27428571428572,204.40054421768707,204.40163265306123
PPG36,208.46285240464343,207.43432835820894,209.37910447761195,208.57512437810945
PPG37,206.80368542283645,206.4574531095755,206.87107601184601,207.08252714708786
PPG38,212.0246883892429,211.5914392208729,212.25261512564626,212.23001082120956
PPG39,207.36636442141625,207.0615284974093,207.80634715025906,207.23121761658032
PPG42,210.8908424908425,210.54153846153847,210.43296703296704,211.69802197802198
PPG43,207.63624154140197,206.63722299705563,208.0012397334573,208.27026189369286
PPG44,210.4350552124275,208.7405951712521,211.73666479505894,210.82790567097138
PPG45,205.70000000000002,204.78251533742332,206.12730061349694,206.19018404907976
PPG46,200.8244008714597,199.98126361655773,201.18039215686275,201.3115468409586
PPG47,209.30873265710625,208.65092689751663,209.7145855194124,209.56068555438964
PPG48,212.18041183234035,211.69238005644402,212.53747256193165,212.31138287864533
PPG51,211.07682619647355,210.53064651553316,211.14441645675902,211.55541561712846
PPG52,205.17906212664278,204.56563620071685,205.54995519713262,205.42159498207886
PPG53,207.1670041691483,206.58165574746874,207.07397260273973,207.84538415723645
PPG54,211.56948828311815,210.48235294117646,213.1041606886657,211.1219512195122
PPG55,212.53940594059407,211.24257425742573,213.54237623762376,212.83326732673268
