Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,TauFlux,A0,Aeq,A0-Aeq,Ecomp,EcompNG,1/Ecomp,L/H_Comp,H/L_Comp,Tdeb,tdebShift,GR_InOC,fitR2,fit_name,ChipRow,TauFluxRel,A0Rel,AeqRel,A0Rel-AeqRel,Erel,RevE,RevA,1/Erel,L/H_Rel,H/L_Rel,TdebRel,GrowthSlope,GR_AfterOC,E,1/E,fitR2rel,Expe
PPG1,0,0.0,0.5328147337999999,257.04733278812773,468.3259668811188,431.0,468.0,0.8015976375738085,0.5328106722707167,0.4878020469748651,0.045008625295851534,2.932941840018331,2.9329418405717673,0.3409545958828332,7.0890635560241035e-09,141062355.0060044,3.604001488667597e-05,0.0,1.1122946438992462e-24,0.997,Osmotic choc fit,6.0,0.45319223540702447,0.4886912286362717,0.5152955236842721,-0.026604295048000437,4.551023443884959,1.5516923594558953,-0.8897014183432426,0.2197307951343698,8.080853185000088e-09,123749309.27543996,15.35495679348183,0.0004922156658199052,1.4503852683392642,3.741982642228363,0.2672380113993518,0.998,220214_Ct2_Osmo
PPG1,1,0.5,0.5125176389999999,464.17651079525,312.2099513592143,437.0,467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,2,1.0,0.4993092848,485.4392415644576,304.1964521256044,429.0,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,3,1.5,0.4945596215999999,486.9421033132817,305.5096567096574,428.0,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,4,2.0,0.4919476832,487.6141384579263,305.9503511302654,426.0,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,5,2.5,0.4908807025999999,488.1593810795389,306.457869232597,427.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,6,3.0,0.4894580617999999,488.3797360765335,306.6357340248545,426.0,450.6790316344233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,7,3.5,0.4891193378,488.587698988172,306.98191988864835,425.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,8,4.0,0.4885284525999999,488.6595781679285,307.1116110555197,424.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,9,4.5,0.4885547978,489.09864825665954,307.32144863454647,426.0,450.9240994898352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,10,5.0,0.4880222483999999,489.08902927220174,307.5380131377759,425.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,11,5.5,0.4876684699999999,489.05646417348913,307.3586378841558,425.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,12,6.0,0.4881840832,489.0001442616786,307.4125979125629,425.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,13,6.5,0.4874859353999999,488.9936422582948,307.72942666049585,425.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,14,7.0,0.4876101342,489.29737228914,307.76566657913526,425.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,15,7.5,0.48842119,489.0755755040637,307.7387731607697,425.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,16,8.0,0.4880184848,489.0812384357801,307.74447490713374,424.0,450.94198734262295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,17,8.5,0.4876327158,489.5013450143115,308.01970566991497,425.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,18,9.0,0.4872375378,489.51710491701,307.9643585547517,424.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,19,9.5,0.4874614719999999,489.585888995369,308.08408460124804,424.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,20,10.0,0.4871980199999999,489.4651619027254,308.08787001580697,424.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,21,10.5,0.4872601193999999,489.3938351113645,308.0798281809962,424.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,22,11.0,0.4875047534,489.70258483144033,308.28834927907513,424.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,23,11.5,0.4870361852,489.4573303987489,308.133929167253,424.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
PPG1,24,12.0,0.4876082524,489.5245993786234,308.4059854376141,426.0,449.7248689808723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220214_Ct2_Osmo
