Ind,Img,Xnotch1,Ynotch1,Xnotch2,Ynotch2,Xattach,Yattach
PPG1,0,61.88366897648723,413.7837980387113,452.5225620642077,536.2825989595915,331.4916697126598,305.9017755971993
PPG5,0,311.02877514812667,46.61783021401571,194.36600468962385,512.178233001841,113.5761879017326,248.32547492842247
PPG6,0,456.7088646283975,188.1167995760001,185.8200550075423,501.0111164300979,215.3928644306153,224.33601166423145
PPG7,0,220.668504760396,333.2123743767453,393.479251700978,659.071003950778,433.879915598232,445.6189380031362
PPG8,0,94.25651750069952,287.4874460703194,476.0045581855,170.9835095460348,320.66304985935926,340.7324686535644
PPG9,0,100.69204009785344,217.78707860214607,596.4935828459103,317.4076030514011,327.5966221468137,384.0958213963783
PPG10,0,355.4812816294784,139.0959439558167,188.6305622543728,631.7610465278843,398.9195737959464,431.8964104296251
PPG11,0,166.31561557404456,402.6432899505752,513.197224908966,406.4415138458021,313.1402890019904,579.5667489280518
PPG12,0,350.3433675573111,113.3766079365083,454.6663087365828,562.9537133045004,502.9156487599688,326.93960528128366
PPG13,0,426.2561483798846,157.66438992723076,134.38196900773414,447.6319032301008,181.54667797085028,251.52161851607377
PPG14,0,295.5670825385805,68.7068810367572,170.26784668050294,562.6395741396341,367.97354261851854,353.8272839516694
PPG19,0,373.2579171834337,128.8062136611113,214.56487024435856,484.5000411679184,359.5183669779661,377.1505448100213
PPG20,0,561.704136217926,482.05703466978656,214.77760621549123,175.22215978910214,319.98348099232624,455.6789607965254
PPG22,0,229.5729928031249,199.3346350225332,594.7896837847791,366.8579898649003,324.92777362505257,415.86672817150617
PPG23,0,88.00768935523836,335.44588434742303,531.5193459611066,205.1857699946825,256.4829935701641,90.50689283539988
PPG26,0,113.03811956248178,156.0180576647508,432.9375976002077,413.093666794952,176.1423435012183,385.2798272525815
PPG27,0,160.14372079003286,359.3453993710719,637.2961803352063,217.39932560310547,426.3876427434959,415.9354290157507
PPG28,0,179.68576738208017,160.4464864404857,424.337160124549,527.7347157622575,218.56135973541387,417.5497039830118
PPG29,0,599.9025998346759,196.2830341154876,192.2181397320213,360.9159277606174,368.5046831563307,192.96855824533068
PPG30,0,160.2457513597307,247.530108408874,438.2481742433801,450.3279626673519,359.8956232471876,209.5404892340116
PPG31,0,186.877101878728,86.86278209217622,287.9872853029523,449.9354155261108,136.3985449075624,317.263439650854
PPG32,0,533.0405559137112,135.99518435517015,175.86749131082274,406.7829951762646,209.02117386003857,144.59241419942632
PPG33,0,104.75314952489846,251.50755050290928,482.1149500578649,204.20356996334485,293.3269703674133,340.50814620738873
PPG34,0,460.7573642865117,159.83805519050028,100.83153719774909,270.4602821315185,346.88039695350113,346.40131713984067
PPG35,0,177.90573799977042,152.45186907899742,423.8082692917776,365.4049253874495,222.0546607466706,371.0584033832168
PPG36,0,303.1823170327057,68.28645194484818,202.80398134423075,503.3112710937427,163.85740531387424,224.49706376552723
PPG37,0,124.1351909927794,121.03278953969192,393.4323041266459,409.5412508514413,163.82671778583105,403.7152502488402
PPG38,0,410.95759263578526,114.77549643227402,182.3798129647725,469.9887265299946,403.5796925020619,370.1040631686335
PPG39,0,393.0791496575852,67.21501979368072,395.1727093948963,594.5253526144855,516.6702750653628,283.80582162934274
PPG40,0,333.68163971994926,159.17059041775042,225.1677302898758,409.30750705248334,379.2568744034168,313.4253480296638
PPG42,0,121.51852236070008,139.61213462250885,371.2316266953626,506.6796765126172,153.3928368948067,394.1052262103662
PPG43,0,193.39001715761023,137.28787232947366,371.350656609836,477.4819598995544,454.4530858920169,234.5414220834784
PPG44,0,306.0512249106381,146.2617678165836,147.0429460393518,381.63530706989246,131.96169014286724,207.639678204728
PPG45,0,94.82298118841013,372.4315457154431,460.088225030431,225.84705561104,328.5340346598134,440.0328803748114
PPG46,0,279.60013807613177,112.94670016857089,280.0295649047515,578.6295062920769,417.4402475748611,341.5507540183245
