Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,G,A0fit,fitR2,Expe
PPG1,0,0.0,0.1938573905999999,280.29361009985365,229.4218810532019,255.0,240.0,0.00010629814684720878,497.3725460589261,16.0,0.042058657051967166,20.0,1.1389976228910836,105.0,,2.0,0.007964714373256519,ExpDel,497.3725460589261,16.0,1541.958623694447,0.93387719869541,0.19995403164399767,0.992,220214_Ct1
PPG1,1,30.0,0.1946628009999999,280.27052188291896,232.25033186375785,254.0,241.0,0.00010050263245032293,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,2,60.0,0.1954136392,279.9147305240786,234.6009992323619,255.0,241.0,0.00011074416127495949,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,3,90.0,0.1958916164,279.815587835372,235.80725124144536,255.0,242.0,0.00013167698123059776,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,4,120.0,0.1963714754,280.28962007484324,236.8452529125528,254.0,243.0,0.0001579906367498807,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,5,150.0,0.1974196379999999,280.49700277922693,237.542876188576,255.0,244.0,0.00018445331510041693,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,6,180.0,0.1986597442,281.149673725222,238.82092288219667,256.0,245.80739206766225,0.00020738645358724269,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,7,210.0,0.2000278127999999,282.1283842268905,239.6255296987769,257.0,247.0,0.0002165323978454746,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,8,240.0,0.2006732702,283.3848553888199,239.5087316545545,257.0,248.7837240969171,0.00020645640792842218,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,9,270.0,0.2023725356,284.1437120151634,240.37070066951023,258.0,250.0,0.00016711821910650286,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,10,300.0,0.2038346942,285.1452579031637,240.28653360273657,259.0,252.0,0.00010040319621565614,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,11,330.0,0.2045422509999999,286.71447707230755,240.8929545395068,260.0,253.0,2.0033645067559284e-05,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,12,360.0,0.2050051738,288.619288973747,241.28255286777505,261.0,253.0,-5.684696942651628e-05,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,13,390.0,0.2052705075999999,290.1419354247399,242.44377554239637,260.0,254.0,-0.00011214270757245626,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,14,420.0,0.2048508661999999,293.05233742386395,242.6030944651617,263.0,253.0,-0.00012158853201963795,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,15,450.0,0.2021260197999999,297.2870366784747,242.21273242769803,265.0,248.0,-5.604314238014794e-05,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,16,480.0,0.2011324294,300.7574523890845,241.1859800146725,267.0,247.0,7.779230984348117e-05,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,17,510.0,0.2015144347999999,303.2252531549734,240.16480001009512,269.0,244.0,0.00025991449103617795,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,18,540.0,0.2029728297999999,304.5971459355357,239.5174430280269,271.0,245.0,0.00046424906151178294,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,19,570.0,0.206273507,305.1374577810157,239.28618796925429,273.0,247.0,0.0006511604934533452,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,20,600.0,0.2107051459999999,304.87857440394777,238.4158550819185,276.0,248.0,0.0007960437856229459,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,21,630.0,0.2160569852,304.0707619789937,238.57509256971105,278.0,252.0,0.000885576961285965,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,22,660.0,0.2222744524,303.1310191411374,237.84247481339776,281.0,257.0,0.0009171051977739948,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,23,690.0,0.2292107672,302.1812010614995,237.28240954597865,284.0,263.0,0.0009022132151641872,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,24,720.0,0.2354771612,302.5820445202811,236.7571674687209,287.0,267.0,0.0008655719235500716,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,25,750.0,0.2413483772,303.2057622639911,235.6279854765016,290.0,271.0,0.0008289198394017635,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,26,780.0,0.2467754884,304.33397920562805,234.76309034481667,293.0,273.0,0.0007971862842994707,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,27,810.0,0.2524886332,304.7915033624755,234.17656114612188,297.0,276.0,0.0007730544041303941,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,28,840.0,0.2581697874,305.17192843731766,233.53120961761456,301.0,279.0,0.0007568327663279702,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,29,870.0,0.2641445024,304.3541367824842,232.68634363339604,303.0,283.0,0.0007428527930089919,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,30,900.0,0.2704692321999999,303.5129078663804,231.84849841174065,306.0,287.0,0.0007232840458905859,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,31,930.0,0.276784553,302.64244608224374,231.4455174239146,310.0,291.0,0.0006974939926512264,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,32,960.0,0.282749859,301.72920383928744,231.0289882221808,311.0,294.6318108242441,0.00065763692582171,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,33,990.0,0.2879455088,301.3868333121485,229.99586629936448,314.0,298.0,0.0006021853962743791,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,34,1020.0,0.2931336314,300.5073377261024,229.51313823146404,316.0,301.0,0.0005383974466319172,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,35,1050.0,0.2980940562,300.20241724237724,228.5422390511108,319.0,304.0,0.0004763743834961129,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,36,1080.0,0.3030243722,300.0757092343054,228.30197660800656,320.0,307.0,0.0004260370153514924,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,37,1110.0,0.307260304,300.46295698037125,227.73498490206865,322.0,308.0,0.000398224720030631,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,38,1140.0,0.3108526601999999,301.34903027599853,228.0358556293777,324.0,310.0,0.00040310222636292365,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,39,1170.0,0.3139256396,302.3728868540834,228.05210682609763,326.0,311.0,0.0004452939973192826,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,40,1200.0,0.3173505156,303.66695192207465,228.0006065751307,326.0,313.0,0.0005161941788972385,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,41,1230.0,0.320244724,305.4907565281308,228.23466372982267,328.0,313.0,0.0006068838584771258,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,42,1260.0,0.3270831852,306.7427563740815,229.3019920774574,331.0,317.0,0.0006966284996355152,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,43,1290.0,0.335778983,307.9340200214509,229.84384734456265,334.0,324.8409902576693,0.0007708081980412747,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,44,1320.0,0.3441003026,309.08634282805053,230.47280502585983,336.0,331.0,0.0008217648758262161,,,,,,,,,,,,,,,,,220214_Ct1
PPG1,45,1350.0,0.3526135658,308.9367829207407,231.01149762150612,339.0,338.0,0.0008455494761827724,,,,,,,,,,,,,,,,,220214_Ct1
