Ind,Img,Xnotch1,Ynotch1,Xnotch2,Ynotch2,Xattach,Yattach
PPG1,0,214.223838476891,307.4801893901901,525.9763748703998,399.480377960576,439.00164380003366,221.42201997863057
PPG2,0,388.4496386762299,188.8062554579822,265.03258419443887,408.418620430248,424.6816446627488,358.64498951353664
PPG3,0,282.8743935388942,251.4731416038568,283.3445719924757,462.9011739904985,361.8141455963935,354.6669514546853
PPG4,0,284.3257408952739,211.3865153667744,388.8725053710788,459.2207539180674,460.5054039089363,268.1581619822029
PPG5,0,330.5450841957105,98.19512207299684,254.086595893818,390.9788890156549,182.4102421261854,223.0236311305761
PPG6,0,460.5599571816956,251.3754596462391,241.0402107972307,441.7601377013885,267.50442021902404,254.30851497066635
PPG7,0,223.1971344270449,382.4553428562471,427.3558727940456,554.5883911706379,399.2291303148143,391.7469417544248
PPG8,0,231.95894922333463,191.85920784298108,405.31096865748265,339.2027767523145,256.1976242527391,330.40381643830386
PPG9,0,203.3664916959822,198.18146095020177,487.13440015422736,296.73829106237724,319.73016089658404,352.3791812676716
PPG10,0,249.29553242927537,106.42258630429043,292.46045982447873,406.1808158570185,369.34761878247343,245.7551618195409
PPG11,0,407.8520270646337,326.2170848586634,188.9947103303246,336.82832582874613,286.91996220761183,478.4470141667909
PPG12,0,240.1197209467105,151.28080926550086,288.4638177397336,450.67863880578005,344.04005862762904,302.3321481536548
PPG13,0,386.95740348113657,299.3239099949968,169.10644029419615,471.4919771797281,205.15273740788456,336.3098180680311
PPG14,0,254.2959774697281,152.6319476116915,152.55605140182394,435.0532144007031,322.8327934111189,339.84168007788924
PPG15,0,249.8692510175338,152.5376246186798,479.1157681145049,463.8186639912188,479.1153710105094,209.68411687073225
PPG16,0,340.7476683811997,256.1055469390707,457.5370833496008,583.2631747097341,272.3588329285957,468.8263568175208
PPG17,0,137.30147260680562,183.46273272918424,345.9990054285477,365.2632218797584,189.78936055056136,359.0053325396182
PPG18,0,212.64836951403385,187.4317511157488,202.3707386092413,403.8621615611013,123.77872808892344,306.6212144721911
PPG19,0,421.0705251955782,203.9747219075688,297.7011551157784,427.14186734251945,441.6272629449656,359.8902002723788
PPG20,0,215.20098931384496,222.16533283227403,460.4328205678322,453.6287435343284,273.6227482704869,432.0218128300396
PPG21,0,363.8039828057057,191.13193955798573,213.4357606466781,408.79158386755046,380.8692039062285,344.680700189921
PPG22,0,175.77472666519714,238.7873374173533,417.5007243588409,367.1120387293561,224.05986583920048,413.7533056952226
PPG23,0,164.71481536601624,389.8441829083962,402.25227720347175,247.4706854437952,213.916465877746,177.36976209082405
PPG24,0,357.35091455207623,134.59932413917136,272.2486841141812,370.9325261915517,406.9863876561696,302.8866902582289
PPG25,0,216.437426051716,277.19834564877743,512.7953296628623,243.63718092122505,344.9240370486202,148.53879652772594
PPG26,0,118.23969599107988,143.90838081829222,296.850599709921,321.1557342711728,107.4188284287506,313.8473539945164
PPG27,0,581.9243221159784,195.9089550734521,269.0677405484134,356.8351702817632,458.9254447404074,375.4472452446144
PPG28,0,244.5623379447029,221.648059966402,383.15556099291626,463.5353888447421,185.11733260253044,421.38312651048767
PPG29,0,149.58671432950962,239.2995460339569,437.3994285321636,331.8998294486301,309.6520797464297,198.85035461333817
PPG30,0,497.3950596144661,387.26731157056514,285.8684106909695,296.11746240031994,421.3609510925132,224.1411800866918
PPG31,0,219.19867124450496,96.69362365865412,318.83256588919755,354.2946195756263,160.9861000925434,295.3965552552847
PPG32,0,413.8964155320992,156.38356612720418,208.9524828117546,350.13962313655566,221.74577704319915,149.66620960143476
PPG33,0,389.19767340742936,132.3963017921172,183.26051040943813,320.9655375251813,344.0171930866411,332.8299634325903
PPG34,0,379.3631317488781,183.90194300565167,127.71119464164197,303.8185119450864,298.16575054331645,355.394381098763
PPG35,0,171.25770433787716,195.23414194130925,375.12302428877297,342.93530367011147,195.99326521025063,387.2303313847448
PPG36,0,389.71473533094974,165.67755813466414,254.94129250893903,421.84236358237024,230.70694184754623,228.4407023205223
PPG37,0,252.93370922492448,297.393185555116,446.2207225332619,493.93861460062254,262.5583229526588,504.5712113336748
PPG39,0,340.8566921584475,178.252886821411,334.8050288259845,533.2604459951342,465.9692057881002,333.9713977560628
PPG40,0,329.88369590596176,181.1982413278524,193.15381868587409,362.8649521634643,338.4696031177567,314.2830920205844
PPG41,0,287.4278981410952,112.42859037569636,232.4832730009463,323.1052746694094,175.20966034974546,197.8558980184796
PPG42,0,202.9147429735836,187.3612002611111,352.77565819780773,426.1195542967081,184.91682057296487,392.6226635992592
PPG43,0,257.74913717558843,268.46689803314484,389.5726992696116,497.0826977739017,449.4350041543268,306.2547605996708
PPG44,0,278.4369784916847,112.17547755042878,145.56406416296383,295.1903399339652,116.68919063234964,169.46304829976276
PPG1,1,215.00213939440164,308.07071217288944,526.7546757879105,400.0709007432753,439.7799447175443,222.0125427613299
PPG1,2,213.775927987969,311.3128199700988,524.9196043739919,402.64542778050094,438.0942079790212,223.3070837973408
PPG1,3,215.8353165723078,308.7619186192294,525.5008367758517,403.5733377149638,439.63985370791056,225.282008648704
PPG1,4,215.2111229341225,310.5190924199487,525.789634674846,403.57015428307074,439.5266304688317,225.3868802887312
PPG1,5,214.8942395153632,312.4762759197834,525.8928552066686,404.0288583189939,439.4268059194149,225.626284612208
PPG1,6,214.2318767112879,313.8780706781037,527.2353910309839,404.8976226170312,440.4606340906179,225.531547586702
PPG1,7,215.52236787107688,313.1460586462366,528.3997587723446,406.06317461543136,440.1403301792518,226.00917756291065
PPG1,8,215.26331179171189,314.42714705056056,529.7731990910918,407.9855920185532,442.6647929115802,226.9235979767032
PPG1,9,215.3795219647635,311.5155642124024,530.7369311916431,408.30749222643817,443.6918485334642,227.28166457901327
PPG1,10,214.16633209120545,313.87271182059146,532.0282446388405,408.89063644013015,442.38471780132375,226.4375868507101
PPG1,11,212.3809981534402,316.1828738316403,534.7739027923066,409.17364168941873,444.06363012415886,227.35275776657392
PPG1,12,212.7414507609357,316.563099636286,537.0817319506061,409.17429475799696,442.4591555100376,225.0320631481661
PPG1,13,211.8098471933377,315.4018901430563,538.3803902633631,409.7735079693476,442.9836992173873,224.0689847248304
PPG1,14,212.93163231651127,313.80270455835284,539.4708075181652,409.9916716825569,441.5407913829607,224.393669680587
PPG1,15,210.7761721230348,314.62037804286524,540.6946049601289,410.24121062999103,443.3218876754729,223.1611541813247
PPG1,16,209.401779414176,313.4615428083861,541.5765519403926,411.9976921666904,442.1454642940947,223.1528075215965
PPG1,17,210.0110440461077,309.8723748795538,541.0312431209344,415.530429201647,441.3625966028849,224.514684269546
PPG1,18,208.29948613197809,310.2156388170659,539.4948721673572,419.3658479490797,443.6709905654438,226.31912704041497
PPG1,19,207.04129847695447,311.88734829162826,540.5676941044095,418.87272613280567,440.0354994482112,224.7739489787816
PPG1,20,208.23608200228105,310.0041142359219,541.2421070603443,421.905725174256,442.78882349518864,224.24681000035707
PPG1,21,205.8853000027108,309.10730344751977,542.0590863380326,422.4865649481351,442.075006948584,225.60564763696087
PPG1,22,205.9282598948098,308.1756928895572,541.2177797640586,424.79860926994144,441.21439275285263,224.7243413133048
PPG1,23,205.1544161003788,306.958078568652,542.3580644953447,425.8860325268688,443.5708827400376,224.48687478466584
PPG1,24,204.5048275063,306.2413434444443,542.6110213419051,428.0270139538357,440.71375766355385,224.4867604863246
PPG1,25,204.571580031139,304.5929856909224,542.7927350513457,429.9422596470544,440.4151592946144,224.27466370096883
PPG1,26,204.1597421380275,303.8194778973563,543.1135745045044,432.57277887329934,441.8134744004872,224.560314955136
PPG1,27,204.51740038381564,301.7475755671027,543.1131044211464,433.4248609651276,444.35664776875007,223.72314715018751
PPG1,28,205.0739821949745,297.5431052576096,541.6712190284238,440.1912508079895,446.3150577865396,226.45494581352168
PPG1,29,202.200047469402,298.443748654061,541.0089557571866,443.0659393815868,443.67312490520527,227.55545577091672
PPG1,30,201.5619587265548,296.9829860318392,540.5811316443869,446.4642541109315,443.627558692932,228.77787022681912
PPG1,31,201.45411351430312,297.8427159516865,543.192691231914,447.278063413727,440.8839382295189,229.19973542615176
PPG1,32,200.6939398701336,295.632163469331,541.1584466705972,454.6995924402405,443.4128371061192,232.69001579381663
PPG1,33,200.4757179137643,293.8962007393717,542.7805476487616,457.02026413908624,443.0938685165709,234.2614277055877
PPG1,34,201.316169331706,289.83299260313174,542.87568425637,459.24294602958577,449.377199110918,235.28859025657144
PPG1,35,179.16837335683,279.4271457396317,541.0612727884528,401.6268830520575,417.1134757161773,185.90506213461043
PPG1,36,184.47131027715943,279.8919756293849,525.1228164451189,370.6732540893316,419.5429816528281,164.21313436449233
PPG1,37,188.48930552461005,278.4883198905778,518.4212285190222,344.9672514374019,414.6756677201628,145.61154542037607
PPG1,38,191.7008569197913,276.6486420542376,514.6212591005678,332.2883999320827,415.6693650002612,136.28184187672116
PPG1,39,192.77961603266056,276.59888022444176,515.6216356773012,318.5476420401058,441.6495024252822,134.53304050774824
PPG1,40,194.61391577600736,277.17501652606904,516.523767750426,317.2182738341944,421.9347911866391,129.38507796121644
PPG1,41,195.33603048190247,277.63733278803016,518.2605879226214,323.58373408711765,431.7519132023643,134.41566738718078
PPG1,42,194.08886693268408,279.1442311488012,520.1870956899901,330.2055619012428,428.7883779972696,136.83892081328025
PPG1,43,191.87078973054977,281.0377917727537,524.4778613040926,336.5198837479678,430.2714925349508,140.08897678147792
PPG1,44,190.76191469986787,280.96628223904105,526.7739891964,337.33329718630955,429.24713737157686,140.51736986364403
PPG1,45,187.7305218727618,271.61031979514405,525.9917257133918,344.3761709857777,432.69481199425394,141.55379882856093
PPG1,46,178.45165068745655,262.42175937988145,528.3315876907966,348.361355394043,434.306887999496,142.40535787406057
PPG1,47,171.151618760274,265.4919871674168,529.4800610350674,353.0043765072242,432.871383095828,141.85224515367346
PPG1,48,168.42510512120845,258.59433033978564,530.9620473695073,355.9231843370625,432.5156831793348,141.0983153255803
PPG1,49,165.86032193297862,250.81358266947427,533.10509039052,358.3640364648979,431.029809528426,138.69147537331295
PPG1,50,162.9540760808359,243.17631740202208,534.3865203412159,363.0117017363035,437.9156857358031,140.82225486814562
PPG2,1,389.0537207510429,189.60914941624125,265.6366662692519,409.2215143885071,425.2857267375618,359.4478834717957
PPG2,2,389.4060283292688,191.35458355756788,264.8459842368494,409.8507991235239,424.6393871847621,359.5524881841696
PPG2,3,389.7152914699855,192.65815085605763,265.7120055389951,411.5624854103668,423.85476649904047,360.8399591279591
PPG2,4,390.0454198635605,193.5296755186406,264.88690463985813,411.0778221428399,423.0008417724758,365.3761079973061
PPG2,5,389.4095298876267,193.43829357006325,266.4107105963543,413.5592410251964,424.6342671708656,362.5461463634895
PPG2,6,390.2918794848554,194.4041362556182,265.41899824602206,412.9640048301874,429.87588619805337,360.6159324637526
PPG2,7,389.61846499486376,194.24032935304496,264.86149312227974,414.045438613991,426.7047309245753,362.46654751234513
PPG2,8,389.9044621385968,194.5185229026305,264.64830387502,415.1722874714236,427.1766896984178,364.4297873338368
PPG2,9,388.6425766618096,194.4289899942048,263.79807449380365,414.95246743461655,426.217616328874,363.912955010094
PPG2,10,389.46286754152334,193.70884177266288,264.3017095634938,416.3321518338665,426.4874329793315,363.50463194470336
PPG2,11,390.3384167909463,193.36414183415133,264.4233384314029,417.9315594122025,425.0271153710861,364.5580130887597
PPG2,12,390.6259090888928,191.7959445692024,263.27475169029583,418.23369714939776,428.998679475528,361.86883204194953
PPG2,13,391.1317090946832,191.78519299219727,262.7163278112956,418.4422467597041,426.6483200271054,364.5255606250112
PPG2,14,391.18179221368223,190.81948119788456,262.63249820828025,420.480543746004,430.18271247132645,361.3473579883614
PPG2,15,390.4690050393574,189.4446248809131,261.74850362118855,420.5315762036796,428.7721685474023,362.9403173558788
PPG2,16,391.7714527158557,190.10961340408912,261.2692814847797,421.8931195080778,429.10895577571046,363.6080547478923
PPG2,17,393.08313926954463,188.8991388502157,259.7052734485627,423.07835898755104,429.771955469385,362.9461239523392
PPG2,18,393.5785672038053,187.52763711248065,258.227340522334,424.0356162425058,428.32765058795127,363.7154149188944
PPG2,19,392.57869856419313,186.2785299060743,258.53370486460847,425.1697785417344,430.5208967840417,362.5204589553831
