Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,TauFlux,A0,Aeq,A0-Aeq,Ecomp,EcompNG,1/Ecomp,L/H_Comp,H/L_Comp,Tdeb,tdebShift,GR_InOC,fitR2,fit_name,ChipRow,TauFluxRel,A0Rel,AeqRel,A0Rel-AeqRel,Erel,RevE,RevA,1/Erel,L/H_Rel,H/L_Rel,TdebRel,GrowthSlope,GR_AfterOC,E,1/E,fitR2rel,Expe
PPG1,0,0.0,0.6422696307999999,340.11541997094685,285.360620062771,438.0,537.0,0.7491757705045823,0.6422301129963137,0.6290117407921606,0.013218372204153117,12.0375740744883,12.037574259663891,0.0830732154526224,1.848102497019212e-09,541095529.9356453,0.9870383844529028,2.0,8.02216730123348e-12,0.996,Osmotic choc fit,7.0,0.3432825758288881,0.6288923327744789,0.6424291856128002,-0.01353685283832129,11.510253182969189,0.9561937572922868,1.0240937862279371,0.08687906200704784,4.218053780585386e-09,237076161.66553926,15.99089962973589,0.0004092815835005379,0.9371484585297393,11.77391372131654,0.08493352539092512,0.999,220301_Ct_Osmo
PPG1,1,0.5,0.6421905952,341.1738039781316,284.8321293215198,438.0,537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,2,1.0,0.6420513419999999,341.30211893241284,285.5607367755373,438.0,537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,3,1.5,0.6356475766,342.6900228097626,286.42658492256385,435.0,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,4,2.0,0.6322415186,341.21615086595466,285.12815863765263,433.0,533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,5,2.5,0.6305987072,341.3761241322944,285.9034468150081,433.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,6,3.0,0.6303691276,341.7563235782234,285.853609285372,435.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,7,3.5,0.6293379012,342.65423144006564,286.6235890061912,433.0,531.7019113473452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,8,4.0,0.6297217883999999,342.132548434251,286.14029049801616,433.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,9,4.5,0.6296992067999999,341.9645320971309,286.5311448830479,433.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,10,5.0,0.6288354606,342.495001494419,286.28216661964177,434.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,11,5.5,0.6289972953999999,341.9129085321782,285.96786900274327,434.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,12,6.0,0.6290255224,340.69400898968485,285.60484387968967,433.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,13,6.5,0.629527963,341.784544884405,285.1170869079447,434.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,14,7.0,0.6286115264,341.6599760869494,285.3793010656748,433.0,531.5341788642272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,15,7.5,0.629076331,341.2058810510068,285.5883283004382,434.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,16,8.0,0.6288636876,341.0487603552131,285.4687979650063,433.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
PPG1,17,8.5,0.6283894739999999,341.309571586059,285.662746856405,434.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_Ct_Osmo
