Ind,lum,whiteR,whiteG,whiteB
PPG1,209.05519580635212,208.8533765032377,208.9981498612396,209.3140610545791
PPG4,202.05447380621231,201.14522484932775,202.3072554473806,202.7109411219286
PPG5,209.84957951070336,209.82052752293575,210.17947247706425,209.5487385321101
PPG6,198.64907680541896,198.38479187151756,198.85611274991803,198.70632579482137
PPG7,209.86532573117935,209.6191004117833,209.76322458029776,210.21365220145708
PPG8,209.15846607669616,208.9275221238938,209.2229203539823,209.3249557522124
PPG11,210.2747302448795,209.955223880597,210.742973444466,210.1259934095755
PPG13,210.16186306700718,209.9193724917913,210.94272163443998,209.6234950747902
PPG14,209.05164503866823,208.69445536767597,209.30593786865907,209.1545418796697
PPG16,206.19706257982122,206.76934865900384,206.23409961685823,205.58773946360154
PPG17,204.99628079962807,204.95746164574618,205.24709437470943,204.78428637842865
PPG20,206.186918863839,205.33874665647687,206.60298051203668,206.61902942300344
PPG24,213.88391861761428,213.00376254180603,215.06020066889633,213.58779264214047
PPG25,207.20598748882935,207.7265415549598,207.48793565683647,206.4034852546917
PPG26,203.62782733517892,204.12482313134421,203.50852045524454,203.250138418948
PPG28,206.03298817405084,206.0787642166016,206.08181972500424,205.9383805805466
PPG29,207.8027989821883,207.9321785085144,208.50176159718146,206.97445684086907
PPG30,211.35980929194565,211.6895922093731,211.24954351795495,211.14029214850882
PPG31,211.27490810601662,211.30179918746373,211.4022054556007,211.12071967498548
PPG32,209.83189207886548,209.58145970252508,210.13282601176064,209.78139052231063
PPG33,204.44322567540118,204.57647775746497,204.28762949421085,204.46556977452772
PPG34,212.3080583113991,212.02303097793074,212.1977120874671,212.70343186879936
PPG35,212.8344024122807,212.82434210526316,212.7859375,212.89292763157894
PPG36,208.15545340576682,208.75261178437108,208.09903886335144,207.61470956957794
PPG37,207.1352748361069,206.8589258698941,207.98789712556732,206.5590015128593
PPG39,205.94276218611517,205.85302806499263,205.56683899556867,206.40841949778434
PPG40,202.22426721199727,202.2725413645659,202.4759248931028,201.92433537832312
PPG41,212.95307255357602,212.30867544539117,213.62006196746708,212.93048024786987
PPG42,209.25163808727174,209.1698034295274,209.5462149728147,209.03889585947303
PPG43,210.02525967894243,209.54815864022663,210.6529745042493,209.87464589235128
PPG44,212.3681261578781,212.59726175952284,212.2807374271384,212.226379286973
PPG45,212.30564430244942,211.99520766773162,213.32907348242813,211.5926517571885
PPG46,208.27283726557775,207.69473684210527,208.583666061706,208.54010889292195
PPG48,210.1067987888797,210.20231213872833,210.00949628406275,210.10858794384805
PPG49,208.19570356665636,208.15171137835338,208.06105457909342,208.37434474252237
