Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,TauFlux,A0,Aeq,A0-Aeq,Ecomp,EcompNG,1/Ecomp,L/H_Comp,H/L_Comp,Tdeb,tdebShift,GR_InOC,fitR2,fit_name,ChipRow,TauFluxRel,A0Rel,AeqRel,A0Rel-AeqRel,Erel,RevE,RevA,1/Erel,L/H_Rel,H/L_Rel,TdebRel,GrowthSlope,GR_AfterOC,E,1/E,fitR2rel,Expe
PPG1,0,0.0,0.5166274902,287.7087099546842,248.59167796625368,442.0,458.0,0.5343668350789892,0.5169662142304045,0.5066012995483699,0.010364914682034598,12.357275063182968,12.357274652787536,0.08092399239296841,2.523983662941113e-09,396199077.9428159,1.1571406976204353,2.0,7.305454485011204e-18,0.983,Osmotic choc fit,6.0,0.34293205461994153,0.5056904686099049,0.5142436186140393,-0.00855315000413448,14.648223696406019,1.1853927036105767,0.8252021619588985,0.068267663078176,3.317842031119665e-09,301400726.92446184,16.271816462863075,0.00010419838012656431,0.2967144462791911,13.502749174596778,0.07405899251104635,0.991,220301_M100_Osmo
PPG1,1,0.5,0.5170396044,287.75798358754827,249.13403337934244,441.0,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,2,1.0,0.5172315479999999,287.02311816203667,248.64567248303624,441.0,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,3,1.5,0.5121431608,285.77133248559835,250.49242973576403,439.0,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,4,2.0,0.5084510691999999,287.5096602835218,250.9588945037462,438.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,5,2.5,0.50742737,287.849140418646,251.2349512924556,438.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,6,3.0,0.507201554,287.7649839539985,251.0936205869626,437.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,7,3.5,0.5071281638,287.2967138631943,251.19316232544256,438.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,8,4.0,0.5068515392,287.2465381338794,251.02436254535013,437.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,9,4.5,0.507116873,287.2898547853531,251.32977781618604,438.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,10,5.0,0.507370916,286.85297899527643,250.9425957136903,437.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,11,5.5,0.5070077286,287.2673487015175,251.1915308467792,438.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,12,6.0,0.507022783,287.342443848441,251.0911762645568,438.0,453.7399117933755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,13,6.5,0.5071037004,287.00960450798107,250.889565653171,437.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,14,7.0,0.5071451,287.9113145978478,250.41889262849227,439.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,15,7.5,0.5064074344,289.1153656450057,249.6337340750335,439.0,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,16,8.0,0.506599378,289.3898784507113,249.36395726016124,439.0,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,17,8.5,0.5059670932,289.90420152552485,249.20593820597767,439.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,18,9.0,0.5056622416,289.8976797894528,249.45262566605984,439.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
PPG1,19,9.5,0.5058805304,290.4236470057351,249.52541698962176,439.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220301_M100_Osmo
