Ind,lum,whiteR,whiteG,whiteB
PPG1,206.33016936534526,205.678391959799,206.60915689558905,206.7029592406477
PPG7,209.07117041979427,209.28690575479567,208.5512927439533,209.37531276063388
PPG8,207.82119298245615,207.70863157894738,207.52042105263158,208.23452631578948
PPG10,212.68932038834953,211.9047619047619,213.92417938049007,212.2390198797966
PPG11,212.23135498320266,212.25397536394178,211.8541993281075,212.5858902575588
PPG26,204.95152640264027,204.41336633663366,205.49133663366337,204.94987623762376
PPG27,203.83407539329178,203.66696349065003,204.4087266251113,203.42653606411398
PPG28,205.75071393402266,205.49556868537667,205.96971935007386,205.78685376661744
PPG29,197.72272272272275,197.38371705038372,198.1685018351685,197.61594928261596
PPG30,206.29924760601912,206.04787961696306,206.1904924760602,206.6593707250342
PPG31,209.88577586206895,209.48257902298852,211.40930316091954,208.76544540229884
PPG34,207.67484521898646,207.62921348314606,207.78330658105938,207.61201559275395
PPG37,210.56850988230067,209.64845658449923,211.7650455252054,210.2920275371974
PPG38,211.59355877616747,210.49323671497584,212.66086956521738,211.6265700483092
PPG40,204.5455268146517,204.53403045312785,204.6629976151165,204.4395523757109
PPG41,204.3549841129092,204.6439813788517,204.26801152737752,204.15295943249833
PPG42,210.23765041165294,209.79607346421787,210.2811906269791,210.63568714376188
PPG43,206.93433149461518,207.20527974783295,206.8234830575256,206.77423167848698
PPG44,204.41766176062205,204.85115245765064,204.16384337683976,204.23798944737572
PPG45,199.8961109305601,199.57751056223594,200.16054598635034,199.95027624309392
PPG47,205.34866487798647,204.828286699885,205.70985051743963,205.50785741663472
PPG49,206.3755994200959,205.94379391100702,206.77718300434927,206.4058213449314
PPG50,197.86182598039215,198.0891544117647,198.40992647058823,197.08639705882354
PPGA,208.21887725421757,208.33115183246073,208.8280977312391,207.4973821989529
PPGB,199.53049370764765,199.2894482090997,199.6592449177154,199.6427879961278
PPGC,209.22787682333873,208.9066450567261,208.97050243111832,209.8064829821718
PPGD,210.59996452013482,209.56200106439596,211.6338477913784,210.60404470463013
PPGE,211.44255245958036,210.45562435500517,212.1455108359133,211.7265221878225
PPGF,198.75737995692384,199.903078677309,199.13949068795134,197.22957050551122
