Ind,lum,whiteR,whiteG,whiteB
PPG1,188.25235831258016,188.428118632556,188.27258320126785,188.05637310391668
PPG2,186.99159315857045,187.57398434588148,187.2099639706796,186.1908311591502
PPG3,186.06862448279344,185.8979715410233,186.73781410838632,185.57008779897063
PPG4,186.3277805821976,185.9485108531045,186.9035840484604,186.13124684502776
PPG5,192.38756158780328,192.58073812401227,192.727433299247,191.8545133401506
PPG6,181.85097523559065,181.8005698005698,182.39140916063997,181.36094674556213
PPG7,192.45719230661865,192.6172012394272,192.5632694079223,192.1911062725065
PPG8,191.54637959499985,191.3087031234206,192.13767310219347,191.1927625593854
PPG9,188.04623771050328,187.98140757325027,188.14338557383434,188.0139199844252
PPG10,187.10452682231332,187.97184102655498,187.33897700944573,186.0027624309392
PPG11,190.0613408707726,190.49226420708123,190.03719131210948,189.65456709312704
PPG12,186.59688048352504,186.96124000779878,186.6131409631507,186.21626047962565
PPG13,204.62367298343088,203.99057446175215,205.55918245857723,204.3212620299633
PPG14,191.62684839540466,191.80180571230142,192.0759614549874,191.00277801892526
PPG15,187.82723533232306,188.28101320632172,187.77462654254168,187.42606624810566
PPG16,187.4927447789531,187.91466639544345,187.73260781122863,186.83096013018715
PPG17,189.50912417545382,189.59237324859166,189.79040878231982,189.14459049544996
PPG18,178.35056531807655,178.72680833673886,178.72129137719656,177.60359624029425
PPG19,189.8080562819076,189.54800149420993,190.65595816212178,189.2202091893911
PPG20,192.92124282337048,193.44113475177306,192.75643363728472,192.5661600810537
PPG21,187.98439883852552,187.57832570500517,188.6988040750037,187.6760667355677
PPG22,184.2831398161587,184.93674407353652,184.2910014513788,183.6216739235607
PPG23,194.88812576312577,194.8209706959707,196.1565934065934,193.6868131868132
PPG24,195.4164230667021,195.11187882009034,196.84958809460537,194.28780228541058
PPG25,186.49931113662456,187.21446613088403,186.65384615384616,185.6296211251435
PPG26,185.05153540637411,185.77622784074396,185.2353966870096,184.1429816913688
PPG27,194.30455197917425,194.17254215020802,195.13429676665936,193.60681702065543
PPG28,187.67151383613677,188.11253391209985,187.90613130765058,186.9958762886598
PPG29,191.57947582133627,191.60066445182724,192.6423034330011,190.4954595791805
PPG30,191.3428765034728,191.27740132136202,192.61943079789938,190.13179739115705
PPG31,191.97718845480702,192.26706416303284,192.38017264394412,191.28432855744416
PPG32,188.95278246205734,189.21753794266442,189.45598650927488,188.18482293423273
PPG33,180.8639827365298,181.00667610762696,181.2174792636051,180.36779283835727
PPG35,193.9320771646478,194.30444145356662,194.23176312247645,193.2600269179004
PPG36,189.61064297315372,190.44677558039552,189.84339352249927,188.54175981656635
PPG37,191.75465801178026,191.3434908041832,192.694374323837,191.2261089073206
PPG38,193.94596956611144,193.55521283158544,195.09901295496607,193.18368291178285
PPG39,190.05477178423237,190.17206085753804,190.1344398340249,189.85781466113417
PPG40,186.0086640097037,186.13134638710795,186.3831225090972,185.51152313290592
PPG41,195.10024196335985,194.6840649844452,196.0069132388524,194.60974766678189
PPG42,192.64663775168376,192.6903628477732,193.20152332592826,192.04802708134983
PPG43,190.3906599552573,190.02376957494408,191.92197986577182,189.22623042505592
PPG44,193.18411691183542,192.7706951254687,194.39371214306317,192.38794346697432
PPG45,195.15923317683882,194.81644998194295,196.39734561213433,194.26390393643914
PPG46,188.26503247433482,188.1726377540331,188.88581604860676,187.73664362036456
PPG47,196.11894341807815,195.65703404269536,197.56071893896367,195.1390772725754
PPG48,192.13043763102723,192.00127751572327,192.3656643081761,192.0243710691824
