Ind,lum,whiteR,whiteG,whiteB
PPG1,188.15886363636363,187.95318181818183,188.6561363636364,187.8672727272728
PPG2,193.4309193631228,193.5546995377504,193.4581407293272,193.2799178222907
PPG3,192.2709965635739,192.28762886597937,192.65257731958764,191.87278350515464
PPG4,193.6371014492753,193.4345341614907,194.78012422360248,192.69664596273293
PPG5,193.69483182936835,194.0041017227236,194.1443806398688,192.93601312551272
PPG6,191.72254335260115,191.27649325626203,192.76429030186256,191.1268464996789
PPG7,191.0822828329132,191.22713729085493,191.0921384368553,190.9275727710291
PPG8,189.74304874059536,189.88027477919528,189.7090284592738,189.63984298331687
PPG9,192.7627118644068,193.1206380857428,192.77733466267864,192.3901628447989
PPG10,193.4503140007388,193.2848171407462,194.4927964536387,192.57332840783155
PPG11,193.76059730250483,193.3418662262593,194.6094137076796,193.3305119735756
PPG12,192.64633240482823,192.65236768802228,192.6025069637883,192.6841225626741
PPG13,184.68200564358585,185.3340568699805,184.8884306490124,183.8235294117647
PPG15,192.18599273207795,192.11149653121905,193.0188305252725,191.42765113974232
PPG16,192.45383312155863,192.22808132147395,193.2217280813215,191.91168996188057
PPG17,193.7876088677752,194.13836104513064,194.26009501187647,192.9643705463183
PPG18,191.2077779606165,190.9127859141024,191.75382590093795,190.95672206680928
PPG19,194.0833333333333,194.1043256997456,194.2296437659033,193.9160305343512
PPG20,192.0928378709836,192.19793966151585,192.35945548197205,191.72111846946285
PPG21,190.4604743083004,189.8474967061924,191.0270092226614,190.50691699604744
PPG22,192.6092658831545,192.0252938170669,193.75370464997445,192.04879918242207
PPG23,191.34493964716805,191.64902506963787,191.32799442896936,191.0577994428969
PPG24,194.5684133915576,194.6686681222708,194.98853711790392,194.04803493449785
PPG25,195.03641293821423,194.7152818128995,195.9642068564788,194.4297501452644
PPG26,189.6351622418879,188.9762831858407,190.2187610619469,189.7104424778761
PPG27,184.6814272878963,184.4697728147863,185.2133230650751,184.36118598382748
PPG28,191.5650720786019,191.156317951196,192.0990577434163,191.43984054119352
PPG29,180.56482912588007,180.6321483771252,181.1968057702216,179.86553323029366
PPG30,186.25505160633813,186.3752725686873,186.07980811164413,186.3100741386829
PPG31,193.0758262036571,193.090588827378,193.9114242576749,192.22546552591848
PPG32,185.2914847161572,184.77219796215428,185.6957787481805,185.4064774381368
PPG33,189.9933788537141,189.86468032278088,191.3072625698324,188.80819366852887
PPG34,191.2830991911452,191.2824302134647,191.50392264185368,191.0629447181172
PPG35,192.72122395833333,192.173828125,193.888671875,192.101171875
PPG36,193.71967163271515,193.6594709638188,194.14198844633628,193.35755548799028
PPG37,192.6633554083885,192.6862582781457,192.7868377483444,192.5169701986755
PPG38,192.17258176757136,191.65518441196937,193.20459290187893,191.6579679888657
PPG40,192.41024811218983,192.47669902912625,192.4485436893204,192.30550161812295
PPG41,186.8342465753425,186.7931506849315,187.3178082191781,186.39178082191785
PPG42,191.66036516400064,191.26660203587008,192.27193407658748,191.44255937954435
PPG43,190.14258734655337,190.4849858356941,190.3127478753541,189.6300283286119
PPG44,187.8457727873184,187.97391017173052,188.0132100396301,187.55019815059444
PPG45,181.42304949365283,181.51005562687206,181.67693624304664,181.0821566110398
PPG46,188.4886160143259,187.96751087234585,189.0754668713226,188.4228702993093
PPG47,191.76168332945826,191.59381539176937,192.06835619623342,191.622878400372
PPG48,189.65770833333332,190.183125,189.54,189.25
PPG49,186.52165627165627,186.59667359667358,186.71413721413722,186.254158004158
PPG50,192.91698595146872,192.8933588761175,192.9814814814815,192.87611749680715
PPG51,192.31810259907556,191.8120027278927,192.68924755626279,192.45305751307114
PPG52,192.18103181958602,192.2764905776954,192.2842137781897,191.98239110287304
