Ind,lum,whiteR,whiteG,whiteB
PPG2,254.55519568151144,254.3246963562753,254.4923076923077,254.8485829959514
PPG3,254.9950161243037,254.98592788038687,254.99912049252416,255.0
PPG4,254.898618957941,254.75894538606403,254.95951035781545,254.9774011299435
PPG5,253.96788194444449,253.9348958333333,253.7122395833333,254.25651041666663
PPG6,254.8492063492064,254.69172932330827,254.8859649122807,254.9699248120301
PPG7,254.4822498847396,254.44190871369287,254.2323651452282,254.77247579529737
PPG9,254.55069444444447,254.15625,254.63229166666667,254.86354166666663
PPG10,254.7894255397,254.69758507135012,254.76509330406148,254.90559824368825
PPG12,254.95264116575595,254.87322404371585,254.98688524590165,254.99781420765024
PPG13,247.5204003079292,247.6274056966897,246.03541185527328,248.89838337182448
PPG14,248.60392410521777,249.22703751617075,247.3764553686934,249.2082794307892
PPG15,252.35883199670988,252.32757557063545,251.45157310302284,253.2973473164713
PPG16,253.2065009560229,253.0841300191205,252.4493307839388,254.0860420650096
PPG17,249.91322957198443,250.23268482490272,248.32684824902725,251.1801556420233
PPG18,253.4765151515152,253.4522727272727,252.84204545454543,254.1352272727273
PPG19,253.4566490919742,252.3488576449912,253.9384885764499,254.0826010544816
PPG22,254.97184466019417,254.92330097087373,254.9970873786408,254.995145631068
PPG23,252.8038635915632,252.73270254287405,252.0626848018924,253.6162034299232
PPG24,254.9735486891386,254.95365168539325,254.99929775280896,254.9676966292135
PPG25,254.9995213020584,254.9990426041168,254.9995213020584,255.0
PPG26,243.31746031746036,243.2445620223398,242.238683127572,244.46913580246917
PPG27,254.71635176113836,254.66899930020995,254.5808257522743,254.89923023093075
PPG28,253.23624595469252,252.7961165048544,253.38932038834952,253.52330097087375
PPG29,253.6468253968254,253.640873015873,252.8234126984127,254.47619047619048
PPG30,254.9971681415929,254.99150442477875,255.0,255.0
PPG31,254.5557170542636,254.0436046511628,254.7172965116279,254.90625
PPG32,254.99183602570784,254.980458572173,254.9963522668056,254.99869723814487
PPG33,252.4961302375233,252.1281024819856,251.63971176941556,253.72057646116892
PPG34,254.75819754576543,254.5727217863609,254.78273989136997,254.91913095956548
PPG35,253.65220535068693,253.55965292841648,253.14822848879248,254.24873463485176
PPG36,254.086903676694,253.67730173199635,254.10391978122152,254.47948951686416
PPG37,254.5093023255814,254.3697674418605,254.5767441860465,254.5813953488372
PPG38,254.9560131477185,254.879060324826,254.9927494199536,254.99622969837583
PPG40,247.3640687888767,247.11635565312844,246.33589462129527,248.6399560922064
PPG41,254.97425552353505,254.94697406340055,254.9827089337176,254.99308357348704
PPGA,254.26791927627002,254.05427974947807,254.13674321503132,254.61273486430062
