Ind,lum,whiteR,whiteG,whiteB
PPG1,242.17291936179387,242.39197930142305,241.13583441138425,242.9909443725744
PPG2,241.83930869645155,242.0810810810811,240.7319360176503,242.70490899062327
PPG3,243.6075268817204,243.56451612903223,243.0040322580645,244.2540322580645
PPG4,246.5954844778928,246.1505174035748,246.0865475070555,247.549388523048
PPG5,239.97433561123765,239.49430523918,239.3248291571754,241.10387243735764
PPG6,236.92292320867827,237.1107622038253,236.0236939765915,237.63431344561803
PPG7,241.68070175438595,242.13927125506072,240.9165991902834,241.98623481781377
PPG8,245.60965207631875,245.6562289562289,244.67474747474748,246.4979797979798
PPG9,244.64219576719577,244.7891156462585,243.56490929705217,245.57256235827663
PPG10,240.19329214474843,240.17034421888792,240.5767872903795,239.832744924978
PPG11,239.63193997856376,239.3581993569132,239.7581993569132,239.77942122186496
PPG12,238.8197855413352,239.2483569699066,237.6478727084054,239.5631269456936
PPG13,246.88556253017865,246.6214389183969,246.82327378078224,247.21197489135685
PPG14,242.4585448392555,242.93477157360405,241.38654822335025,243.0543147208122
PPG15,232.87006369426751,232.73036093418256,232.05095541401275,233.8288747346072
PPG16,234.80122430122432,234.7914067914068,233.7557172557173,235.85654885654887
PPG17,245.26024518388795,245.4931698774081,243.81926444833624,246.46830122591945
PPG18,243.7177862272919,243.55133079847909,243.4448669201521,244.15716096324465
PPG19,241.72444127436995,241.57631954350927,240.5748930099857,243.02211126961484
PPG20,242.94423580289063,242.93717992488905,241.8753840901332,244.0201433936497
PPG21,242.3029869717191,241.9003813155386,242.77597712106768,242.232602478551
PPG22,239.3395191409897,239.95973389355743,238.2671568627451,239.79166666666663
PPG23,240.2236503856041,239.37146529562983,239.4151670951157,241.88431876606683
PPG24,243.57177615571777,243.64598540145985,242.7737226277372,244.29562043795625
PPG25,236.7276932657237,237.0616493194556,235.9314117961036,237.19001868161195
PPG26,242.09471094710943,241.2693726937269,242.1439114391144,242.87084870848707
PPG27,237.82287510579133,238.02321363801232,236.9260065288357,238.51940515052596
PPG28,240.48834586466168,241.29248120300755,239.343984962406,240.82857142857145
PPG29,241.28931245745403,241.47447243022464,241.0905377808033,241.30292716133425
PPG30,243.93596557833465,243.15261958997723,244.3568716780562,244.2984054669704
PPG31,244.8829732510288,245.03742283950615,244.13078703703704,245.4807098765432
PPG32,233.1176109319822,234.39613081529248,232.21326577614,232.74343620451404
PPG33,245.51588845655,245.86867704280155,245.0476653696498,245.63132295719845
PPG34,243.5997023809524,243.50446428571428,243.6796875,243.6149553571429
PPG35,243.53253012048197,243.5997809419496,242.54414019715225,244.45366922234396
PPG36,239.8119695426548,239.8315146224356,238.9537319947621,240.6506620107668
PPG37,241.63326226012794,241.36087420042645,241.0911513859275,242.44776119402985
PPG38,246.0836236933798,245.24216027874564,244.9616724738676,248.04703832752614
PPG39,240.554976097349,240.46675358539764,239.78096479791395,241.41720990873534
PPG40,242.88486288486288,243.03831303831305,241.65161865161866,243.96465696465697
PPG41,238.14491894029257,238.26453143534994,237.4258600237248,238.7443653618031
PPG42,241.5355284000905,242.43822131704005,240.52376103190767,241.64460285132384
PPG43,237.71135745659907,237.2758837063376,237.91068814055637,237.94750052290317
PPG44,241.52384235321153,241.54601861427093,240.4950017235436,242.53050672182007
PPG45,239.26736995271006,239.78283012004366,238.17242633684975,239.8468534012368
PPG46,235.70225225225226,236.20855855855856,234.59414414414414,236.30405405405406
PPG47,239.23447807528134,238.99970896391153,239.17258440046567,239.5311408614668
PPG48,240.3177286519289,240.3060251408756,239.7316861725184,240.91547464239272
PPG49,234.25692319761512,234.87761826312072,233.37773593786773,234.51541539185692
PPG50,244.22497629689826,244.054043071922,243.30069077610727,245.32019504266557
PPG51,242.43008834522595,242.96075433231397,241.22604485219165,243.10346585117227
PPG52,243.47175789358684,242.97574565716158,242.80825958702064,244.63126843657818
