Ind,Img,Xnotch1,Ynotch1,Xnotch2,Ynotch2,Xattach,Yattach
PPG1,1,207.9710066657981,273.1295479698898,374.3777443658685,530.9192666164015,199.38254233958017,451.702888017532
PPG1,2,204.2642496031802,273.5674554487709,373.0950069095558,528.7673582230829,197.21454883655423,450.5492999756455
PPG1,3,202.79824374233883,272.7602605901823,371.42258337272807,527.4815759347405,191.8932271289362,445.7433949003395
PPG1,4,201.7284213910908,272.768667726858,370.5233241112011,527.6643880109589,192.01798487203365,447.67310537056153
PPG1,5,201.3791124861889,271.6535987454289,369.1976376358722,527.7729702898491,207.47915101709265,467.672594142168
PPG1,6,199.63170613046464,273.6165006215048,373.0025247146645,526.3905275678936,209.6918882581213,469.1360769581161
PPG1,7,199.7348121006985,274.15866789657,375.77751300012005,525.3565930610657,211.33895230012683,471.26834993264606
PPG1,8,197.91218945937376,273.4776435122579,373.5120917143077,527.5354492757155,210.24178295300823,472.27824473756726
PPG1,9,196.2119453094096,270.1369736881568,357.86683601632865,534.206643873249,197.5850216145789,470.7552352256335
PPG1,10,195.40556717506053,268.2675184332843,356.3725750205736,534.802405578495,194.12924647081155,465.66330512766416
PPG1,11,193.71656736051085,265.88345855316777,356.9093901310124,534.2082771106177,193.1798222138217,463.42640960021976
PPG1,12,192.6565235039431,263.5492653885956,357.6889593663252,533.7974434087082,190.79601702770657,458.0768511145261
PPG1,13,191.45782099049785,260.44929639875846,357.8203320817342,532.364131701537,189.5910516928034,455.3691740017479
PPG1,14,190.2537404425888,257.85002731705777,359.48222757178803,532.4287594875316,189.8994478000729,453.864194149206
PPG1,15,188.7300825311017,257.8519795179549,359.6808502860729,535.141962774693,189.5520712925073,454.5294078663245
PPG1,16,188.9597193111705,254.3198493333936,361.045610222276,533.8360694007374,187.9131536492564,452.7805515920778
PPG1,17,188.2909889017252,250.8812180126069,362.08974137617054,533.5125231780436,188.11666390764785,451.2546920995272
PPG1,18,187.7373796220908,246.627791496506,362.9746417253394,532.4082933457835,186.9357912841352,446.48095738895705
PPG1,19,188.68423234912373,242.292981804448,365.02260886186417,531.0563862614405,191.15945442280747,449.9358323093573
PPG1,20,190.42576952751529,237.45778570677328,364.7515217621064,531.587937218778,192.1148875005212,447.9718941820289
