Ind,lum,whiteR,whiteG,whiteB
PPG1,234.56329979577689,233.27907368894384,235.09701534483727,235.3138103535496
PPG2,231.41185661764703,230.6350183823529,231.1750919117647,232.42545955882352
PPG4,235.33353341336533,234.11368547418968,235.7342136854742,236.15270108043217
PPG5,234.9594675262655,234.11676217765043,234.9740329512894,235.78760744985672
PPG6,232.19463043829856,232.09005337214944,231.5531295487628,232.9407083939835
PPG7,232.49306991346964,231.87365035607627,232.3967378819205,233.2088215024121
PPG8,230.9594581377152,230.74427816901408,230.56807511737088,231.5660211267605
PPG9,237.1818069916297,236.09730428360413,238.0921344165436,237.3559822747415
PPG10,234.3332195806317,233.07962689113867,234.3600273006484,235.5600045501081
PPG13,229.35011151140847,228.28986103962944,229.85054040144107,229.9099330931549
PPG14,233.94687482129584,233.2954194544519,233.6182878709899,234.9269171384457
PPG15,239.1128455284553,237.64119241192407,239.0274254742548,240.6699186991869
PPG16,235.06291864228191,234.4186046511628,234.5965229171371,236.17362835854595
PPG17,236.5100607777188,235.6700300938219,236.3827226057709,237.47742963356347
PPG18,239.59639710372505,238.87437843496468,239.4420308819681,240.47278199424235
PPG19,233.47394383394385,232.96703296703296,233.64805860805865,233.80673992674
PPG20,233.8353115727003,233.3119966087325,233.6034336583298,234.59050445103856
PPG21,220.5308839966953,219.62049861495845,220.7572532439131,221.21490013121445
PPG22,226.98942093541203,225.2749443207127,227.7919821826281,227.9013363028953
PPG23,226.3158483277422,225.1895394937481,227.48810612991767,226.26989935956084
PPG24,223.46019401237663,222.35160561966885,223.74573507275463,224.28324134470648
PPG25,231.25094441446305,231.2111440906638,231.4197247706422,231.12196438208312
PPG26,236.31638466850828,234.92437845303868,236.50112223756904,237.5236533149172
PPG27,237.0028108465609,235.2607886904762,237.1194196428572,238.6282242063492
PPG28,240.75445981158543,238.80802766085387,241.8312537582682,241.6240980156344
PPG30,234.1350342252645,233.74125700062228,234.0425637834474,234.6212818917237
PPG31,233.08551217765043,232.2936962750716,232.94931948424068,234.01352077363896
PPG32,234.1965903353233,233.43651430098905,233.9402120645104,235.21304464047049
PPG33,234.2833129584352,232.86715566422168,235.131010594947,234.8517726161369
PPG34,235.32924631949007,234.3887936717205,235.394264996704,236.20468029004616
PPG35,238.2902273721032,236.7408176650634,238.45310450371667,239.67675994752952
PPG36,233.5685823166833,232.2987032916443,233.4249980817924,234.9820455766132
PPG37,237.63172263172265,236.98157248157247,237.1187551187552,238.7948402948403
PPG38,229.87903836880892,228.93573052283529,229.86856788592684,230.8328166976648
PPG39,231.258149807142,230.2531728256812,231.53452780888392,231.9867487868608
PPG40,226.6795392342627,225.0511594333664,227.5342416313273,227.4532166380944
PPG42,236.50520101208883,235.5898228844532,236.515321900478,237.4104582513354
PPG43,228.07838733825253,228.0622393326917,227.4153031761309,228.7576195059352
PPG44,223.4083465398838,222.7282091917591,223.35750132065505,224.1393291072372
PPG45,237.2869453612028,236.0281628162816,237.0051705170517,238.82750275027504
PPG46,239.54998354721945,238.2138861467588,239.4823955248437,240.95366897005593
