Ind,lum,whiteR,whiteG,whiteB
PPG1,235.16984286191908,235.15245737211634,236.02407221664996,234.33299899699097
PPG2,238.8564414309095,236.5402151040449,240.0461772270283,239.98293196165537
PPG3,236.62387366465396,234.4512772875058,237.66911286576868,237.7512308406874
PPG4,228.213494607986,228.07082483241038,228.39172252987467,228.17793646167297
PPG6,237.29966444861512,236.43354376386282,237.02678723767275,238.43866234430985
PPG7,234.82944357230073,233.71637885923602,234.4800627943485,236.29188906331763
PPG8,237.5801055832903,236.24470648992943,237.7231020829747,238.77250817696677
PPG9,237.13226940762783,235.36678387882066,238.47011090073033,237.55991344333242
PPG10,236.25131024372368,235.07300714678394,236.77405167674547,236.90687190764157
PPG11,230.4899438036084,229.2363206152026,230.53978112984325,231.69372966577936
PPG12,231.3983434911705,230.0964213158306,231.59899984372558,232.49960931395532
PPG13,237.89908477842005,236.60741811175336,238.59055876685935,238.4992774566474
PPG14,237.308908045977,236.89580209895053,236.98594452773614,238.04497751124438
PPG15,234.1683792815372,232.66127819548873,235.12293233082707,234.72092731829574
PPG16,238.4436996249302,237.11563322959063,238.294709121379,239.92075652382093
PPG17,235.6436583261432,234.5770060396894,235.43313201035375,236.92083692838654
PPG18,241.2743876464324,239.71900958466455,241.82987220447285,242.27428115015974
PPG19,233.4555231075882,231.62606035321932,233.64386038103186,235.09664858851343
PPG20,232.88951552261256,231.84547212375122,232.87657106026427,233.94650338382212
PPG21,237.6399882570962,236.98563329113227,237.37061705289813,238.56371442725822
PPG22,237.76415818537507,236.62848228214844,237.70767402124656,238.9563182527301
PPG23,235.74047866805412,234.80104058272633,236.48387096774192,235.93652445369406
PPG24,236.3968121389295,234.0718312800167,237.37961996241387,237.7389851743579
PPG25,232.58603896103895,231.76832096474953,232.43112244897958,233.55867346938774
