Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,AreaNorm,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,A0fit,fitR2,Expe
PPG3,0,0.0,0.2517679038,604.3070306103405,234.2251674724304,305.0,312.0,1.0,1.2551578499662994e-05,440.08166056570803,14.0,0.05851423510031758,0.0,0.146902348257383,105.0,982.4974459035775,2.0,0.003069639583084775,ExpDel,440.08166056570803,14.0,1483.1431180507345,0.25927902883337356,0.996,220722_ABA
PPG3,1,30.0,0.254504041,595.5504908946496,266.1200814532416,305.0,313.0,1.010867696631313,4.362996007645508e-05,,,,,,,,,,,,,,,,220722_ABA
PPG3,2,60.0,0.253356143,572.9132524811753,293.0453470091494,311.0,300.0,1.0063083466002942,8.799732569691096e-05,,,,,,,,,,,,,,,,220722_ABA
PPG3,3,90.0,0.2539752551999999,573.889039837362,298.3177645674243,306.0,312.0,1.008767405879319,0.00013796949911762567,,,,,,,,,,,,,,,,220722_ABA
PPG3,4,120.0,0.254588722,572.8010308307248,303.36425440357687,306.0,313.0,1.0112040421254045,0.0001859640444414154,,,,,,,,,,,,,,,,220722_ABA
PPG3,5,150.0,0.2549744909999999,577.7603147772278,306.20636219565387,291.0,328.0,1.0127362827095991,0.0002246473554220159,,,,,,,,,,,,,,,,220722_ABA
PPG3,6,180.0,0.2570858706,575.7911048359064,309.83840850847594,292.0,330.0,1.021122497028948,0.0002335556709660946,,,,,,,,,,,,,,,,220722_ABA
PPG3,7,210.0,0.2605276828,575.678272382593,309.0375651709735,294.0,331.0,1.0347930727776904,0.0002135790715639935,,,,,,,,,,,,,,,,220722_ABA
PPG3,8,240.0,0.2622081302,571.8378079372965,312.52120015725825,294.0,332.0,1.041467662249329,0.00017654324696564906,,,,,,,,,,,,,,,,220722_ABA
PPG3,9,270.0,0.2650854023999999,567.6467983985023,314.62584811927366,296.0,334.0,1.0528959347041278,0.00013103224113677548,,,,,,,,,,,,,,,,220722_ABA
PPG3,10,300.0,0.267347326,561.9553664723119,317.37184659313823,297.0,335.6594467580833,1.0618800965685284,9.185869678899448e-05,,,,,,,,,,,,,,,,220722_ABA
PPG3,11,330.0,0.2639431498,545.1701748308094,321.0714160791937,299.0,328.0,1.048359007706049,0.00010025159047791038,,,,,,,,,,,,,,,,220722_ABA
PPG3,12,360.0,0.2647015151999999,542.2066986634333,323.1858262136087,300.0,327.9230047532805,1.0513711684642462,0.00015341541309649533,,,,,,,,,,,,,,,,220722_ABA
PPG3,13,390.0,0.2658456496,540.8669140536518,321.80715105173294,301.0,328.0,1.0559155698066387,0.00023787536503254558,,,,,,,,,,,,,,,,220722_ABA
PPG3,14,420.0,0.2676126598,539.9146256646594,323.6162144159974,303.0,328.0,1.062933979116682,0.0003430632508101554,,,,,,,,,,,,,,,,220722_ABA
PPG3,15,450.0,0.2709378004,540.2391909279227,325.1092622051233,303.0,332.0,1.0761411455180092,0.00044723417095751135,,,,,,,,,,,,,,,,220722_ABA
PPG3,16,480.0,0.2750758786,542.107223370629,327.4622961691631,304.0,335.0,1.0925772286626154,0.0005303108987807761,,,,,,,,,,,,,,,,220722_ABA
PPG3,17,510.0,0.2801416841999999,544.9130778529584,329.6895341932751,305.0,339.0,1.112698163553602,0.0005885016578741261,,,,,,,,,,,,,,,,220722_ABA
PPG3,18,540.0,0.2850249552,548.08703724018,331.48605690691244,306.0,343.0,1.1320940870462135,0.000628499879111571,,,,,,,,,,,,,,,,220722_ABA
PPG3,19,570.0,0.290192378,552.62326801414,332.0299525066969,308.0,348.0,1.15261863653011,0.0006321219063225168,,,,,,,,,,,,,,,,220722_ABA
PPG3,20,600.0,0.2958904684,557.3447714561343,334.06210200150826,310.0,352.0,1.1752509511103135,0.0005980472588211316,,,,,,,,,,,,,,,,220722_ABA
