Ind,Img,Xnotch1,Ynotch1,Xnotch2,Ynotch2,Xattach,Yattach
PPG11,1,403.0071109471799,207.84005823891147,294.6324493858953,431.4014858323059,266.9621121688665,234.83229787229573
PPG11,2,396.6596296003326,222.35737429289563,288.25769610698507,447.7786215654729,261.4833268367868,239.64124688002715
PPG11,3,394.2596777696752,228.61959886018585,284.9750958742632,452.9130835964377,259.9436761222233,242.30466570324785
PPG11,4,393.2371243689724,227.97648386742367,290.9370330143462,455.83902231147897,257.6650488788298,250.42201242709004
PPG11,5,391.01760032076834,232.4196997193584,290.041397746572,461.1631264787508,257.37460100995804,250.4172140449027
PPG11,6,392.32356597770433,237.48468387374743,289.04523438860696,465.0264092636169,258.0420192557806,253.07979741370136
PPG11,7,393.62099477112326,236.5998997748838,287.84881470860336,465.64534268599874,257.34657353470413,260.37695544637563
PPG11,8,394.3990318395465,245.88309468862968,276.62771461351633,467.7325924192325,254.4450138666309,261.5699950335079
PPG11,9,393.202203160889,243.8917695229149,278.1014954323232,469.465204258742,253.8009390801304,262.5662581188885
PPG11,10,391.5516984742392,240.91328839494943,277.84204316799827,470.71688785032376,242.98377377447525,287.92093833122453
PPG11,11,384.3145592057181,243.2409245757175,272.48772949016643,472.3036269686943,235.9145988237684,289.666467252258
PPG11,12,379.843484070278,220.01576401717017,283.3113326498334,459.7779507910933,235.4056745607799,276.9527771302135
PPG11,13,376.0806415852263,206.0557190044901,281.088298757487,445.9614936819704,229.96387523454555,267.9616007582858
PPG11,14,375.3127993271134,187.73688072297472,286.0564596057757,431.88618295218,231.38314649504093,254.0065802530272
PPG11,15,374.49048833586,180.21607188249868,276.55240648611874,421.1275545605517,227.03323836017097,240.06197059686625
PPG11,16,377.8215230273355,167.8110137683673,266.0604657378726,405.65531522192623,225.9715415360185,225.83712090761645
PPG11,17,384.350834475697,163.11092689751342,240.0693941300397,384.7474010603398,229.7479999359477,193.0686450011472
PPG11,18,388.859992113896,152.05832922246864,245.6661602405106,373.53972188118496,229.9990082355621,187.1153898399256
PPG11,19,385.4750891930067,131.78918697366177,257.8776048903868,366.4895822532418,229.8560854376996,178.39577626847688
PPG11,20,386.4521589217988,133.1468731871165,255.32572763423968,367.5136991742255,230.85843562865472,177.12847657184597
PPG11,21,387.9755336063987,132.30621499596273,252.9176114070354,367.6463993529545,232.638868164738,172.98677706200573
PPG11,22,388.35853230306986,131.3738254992432,258.06028661814514,370.81725036231376,233.26626791578263,177.51300767190358
PPG11,23,390.001261966918,128.60628378187218,256.86380915810776,372.1348690422484,232.67188335932545,176.9642897863411
PPG11,24,388.3447666493448,142.1708870685029,233.1456153167176,371.5841229431542,227.8743688484368,175.96012041825057
PPG11,25,385.08714619257256,129.91932261097904,245.0286021740208,372.57709636358186,226.80392351525325,174.93245608062085
PPG11,26,383.6087476846626,134.048880663808,242.8864493865885,377.27288279666647,224.965986967438,176.6220264291656
PPG11,27,382.511018228685,136.8457823533799,238.33741011561523,384.640945134332,222.9124203807044,180.36582704390025
PPG11,28,385.1039052270376,141.46465710697106,235.2398547402065,388.0665994826754,224.9728229758568,181.25095040916528
PPG11,29,385.6316548236985,143.43437148381415,233.9055123088736,390.4014000328695,224.4961329263729,184.3527995876708
PPG11,30,394.801692123862,148.9690294594939,232.8553476140336,391.185778817347,230.46817377287184,184.0907126551766
PPG11,31,396.8020955027338,150.1100082607757,229.13037815018097,393.0741061917457,229.0824067727823,186.6542155894469
PPG11,32,398.26369314083627,149.25872459527503,224.3084071726749,391.6331602245693,231.0093349755624,183.5183841036842
PPG11,33,398.0635603915783,150.44917799535966,222.9001551357304,394.4915005172844,230.40037045554183,184.0351734177927
PPG11,34,396.0111700667176,150.08526186386163,220.14659176625293,397.6874790396247,228.42068095088524,183.6612367156968
PPG11,35,397.4130378080008,152.70044705802138,219.96611391393355,398.8493036718784,226.62465518414035,189.4185160554066
PPG11,36,398.15283376553873,149.5878885109214,219.7249231138296,397.9446272677412,228.2096292117203,188.3577647102107
PPG11,37,401.3990282126925,149.3314864994755,219.0343110346097,399.3586824373349,230.86948489053967,188.102256732338
PPG11,38,404.4437447721671,152.71655267636055,214.04637808418744,400.8095525054187,231.16724231369145,187.36772202774767
PPG11,39,405.2767535340516,153.71122067923002,215.03361386770712,405.2367662308632,231.5883232472781,191.489961811795
PPG11,40,408.1178302046324,152.0365030741124,215.50977150210545,403.8162204614349,232.5742539521758,192.94441624207587
PPG11,41,411.34366094542446,152.91198985737088,215.29463890109383,406.4130982640368,232.8765968376064,194.869252908424
PPG11,42,411.6064820991666,154.8806879806269,214.4009312285509,411.25504139664463,235.4188321755136,194.9256866908337
PPG11,43,414.26292995840095,151.09384871163314,215.6394156716244,407.0971135472947,235.1239817456845,195.321146596214
PPG11,44,416.8726726252215,151.22286224774632,214.4515557201608,410.2865962771028,236.7438564298677,194.729098764614
PPG11,45,418.95850464266334,155.55171648740497,210.04349577494904,414.2279710202692,236.6678966294424,199.7372304668616
PPG11,46,419.288590637689,153.48994229460527,210.69466120711937,414.7869394901196,236.922932217952,198.50884303491333
PPG11,47,422.420960541343,152.48939747515433,211.4994432249009,415.7125610376716,239.25097960244864,198.54686624920785
PPG11,48,424.7291581942301,153.17424736787444,209.67192480164687,417.5076505736271,239.0271060546017,199.6655569861951
