Ind,lum,whiteR,whiteG,whiteB
PPG1,183.47138855542218,182.40736294517808,183.37454981992798,184.63225290116046
PPG2,185.1210341985991,184.94684796044498,184.4508652657602,185.9653893695921
PPG3,185.11891821946168,184.60791925465838,184.57686335403727,186.17197204968943
PPG4,187.42485736133168,186.4662078701253,186.9938238927122,188.81454032115758
PPG5,185.8367149758454,185.2463768115942,185.21449275362318,187.04927536231884
PPG6,183.22596006144394,183.11935483870968,182.93917050691243,183.61935483870968
PPG7,185.58548850574712,184.20581896551724,185.88793103448276,186.66271551724137
PPG8,188.453427756467,187.47152552375331,188.1209796400118,189.76777810563587
PPG9,188.11173089925626,186.77408722109533,188.49670385395538,189.06440162271807
PPG10,185.82539682539684,185.01120448179273,185.79365079365078,186.67133520074697
PPG11,184.88606253312136,183.60572337042925,184.99841017488077,186.05405405405406
PPG12,178.9570446735395,178.59536082474227,178.50451030927834,179.77126288659792
PPG13,186.61148272017837,185.58361204013377,186.1329431438127,188.11789297658862
PPG14,186.14799331103677,185.6839464882943,185.62541806020067,187.1346153846154
PPG15,183.5608048993876,183.18241469816272,182.78608923884514,184.71391076115486
PPG16,179.08600742196026,178.603798297315,178.59528487229863,180.05893909626718
PPG17,183.6630398944939,183.1345202769535,183.38278931750742,184.47181008902078
PPG18,183.82358097742713,183.20973044049967,183.9092702169625,184.3517422748192
PPG19,185.35182998819366,185.0064935064935,184.94805194805195,186.10094451003542
PPG20,179.81285335179416,178.70128071997232,179.60816891658013,181.12911041883004
PPG21,188.4494441503441,187.93170989941768,188.0873478030704,189.3292747485442
PPG22,187.7510005717553,187.19125214408234,187.12864493996568,188.93310463121784
PPG23,187.58622350674375,186.98121387283237,186.7485549132948,189.02890173410404
PPG24,180.76937567276642,180.48250807319698,180.31054897739506,181.5150699677072
PPG25,187.91580542924075,186.97519636213312,187.5998346424142,189.17238528317486
PPG26,183.58339218455743,183.55755649717514,183.29590395480227,183.89671610169492
PPG27,186.41516966067866,185.79790419161677,185.60479041916167,187.84281437125748
PPG28,186.510274595381,185.35242771412985,186.08783415166394,188.09056192034916
PPG29,184.94110985277462,183.68969422423555,184.80067950169877,186.3329558323896
PPG30,182.19400749063672,181.78164794007492,181.8187265917603,182.9816479400749
PPG31,185.78659611992944,185.36123136123135,185.08128908128907,186.9172679172679
PPG32,177.60863095238096,176.70647321428572,177.38169642857142,178.73772321428572
PPG33,186.36350574712642,185.5479525862069,186.10883620689654,187.43372844827587
PPG34,184.62045760430684,184.28734858681023,184.07537012113056,185.4986541049798
PPG35,186.25346191889219,185.73145400593472,185.92507418397625,187.10385756676558
PPG36,187.17769827072152,185.85688729874775,187.66636851520573,188.00983899821108
PPG37,186.382603406326,185.0839416058394,186.62408759124088,187.4397810218978
PPG38,185.50270746757337,185.289761994711,184.77861730260673,186.43974310540233
PPG39,184.87202255109233,184.4014799154334,184.22389006342496,185.9906976744186
PPG40,183.21259842519683,182.06771653543308,183.46211723534557,184.1079615048119
PPG41,187.23701374330304,185.96715583508038,188.06044723969254,187.68343815513626
PPG42,185.16244314489927,184.12800519818063,185.82716049382717,185.53216374269005
PPG43,183.67022696929237,182.6008010680908,183.60213618157545,184.80774365821094
PPG44,187.43635316382787,186.93137496914343,186.70278943470748,188.67489508763268
PPG45,178.13608098336945,177.1704989154013,177.66160520607374,179.57613882863342
PPG46,187.03960396039602,186.25894897182025,186.70601675552172,188.15384615384616
PPG47,186.98587838549898,186.17104015175465,186.60196016440088,188.18463484034146
PPG48,187.65745107605574,186.4973166368515,187.61034314522686,188.8646934460888
PPG49,186.63048095888334,186.27287209831587,185.77605826126535,187.84251251706874
