Ind,lum,whiteR,whiteG,whiteB
PPG1,182.42318342404278,182.58521913491836,181.68805499856774,182.99627613864223
PPG2,181.29095933675487,180.11764705882354,181.37149624950652,182.38373470193446
PPG3,184.5524449421426,184.13997760358342,184.1164613661814,185.40089585666294
PPG4,179.09966575508963,178.75478577939836,178.39744758432087,180.1467639015497
PPG5,183.92004809137362,183.5058611361587,183.55094679891795,184.70333633904417
PPG6,182.24706628607677,182.29210275927687,182.04091341579448,182.40818268315888
PPG7,179.35720289124222,178.41250630358044,179.18658598083712,180.47251638930913
PPG8,182.24996353026987,181.1398249452954,182.12932166301968,183.48074398249452
PPG9,182.84547053649956,181.94353562005276,182.9042216358839,183.68865435356201
PPG10,186.35160599571736,185.46873661670236,186.513704496788,187.07237687366168
PPG11,185.27444849748133,184.61907243355915,184.80562793121416,186.39864512767068
PPG12,186.96121001592124,186.08727746417716,187.54754667824577,187.24880590534087
PPG13,185.1827844572225,184.46053319393621,184.77469942498692,186.31312075274437
PPG14,184.10936155567026,183.57769747031492,183.6262261228704,185.1241610738255
PPG15,185.5068493150685,184.90123287671233,185.31164383561645,186.30767123287671
PPG16,181.3162071846282,180.82894736842104,181.30513784461152,181.81453634085213
PPG17,184.39720558882235,183.7093505297098,184.07415937356058,185.40810686319668
PPG18,186.11727078891258,185.8589196872779,185.49324804548687,186.999644633973
PPG19,179.57268817204297,179.1090322580645,179.4490322580645,180.16
PPG20,181.036846124475,180.35853379152348,180.88545246277204,181.86655211912944
PPG21,178.61114942528738,178.8062068965517,178.05655172413793,178.9706896551724
PPG22,181.3494314552191,181.04829436565734,180.94863932541205,182.05136067458795
PPG23,183.41597555652552,183.14797031863816,182.9764295067656,184.12352684417286
PPG24,179.98853736817975,179.0337001375516,179.81568088033012,181.1162310866575
PPG25,182.70164492342596,182.27169597277367,182.17413499716392,183.65910380034032
PPG26,178.14054480852744,178.00394788787997,177.64508487958943,178.7726016581129
PPG27,185.15343501499152,184.78451310129057,184.57098161908488,186.10481032459913
PPG28,181.13168044077133,181.27272727272728,180.32520661157025,181.79710743801652
PPG29,183.77253668763103,183.47455688965124,183.14722698684963,184.69582618639222
PPG30,183.3026790963299,182.45830183925423,183.85739480977577,183.5923406399597
PPG31,185.2284606643941,184.57429316222178,184.9729296170042,186.1381592139563
PPG32,184.22364314531478,183.63416305092485,184.16168074902947,184.87508563598996
PPG33,181.26021505376343,180.52903225806452,181.24874551971325,182.00286738351255
PPG34,184.56415300546448,184.11868852459017,184.34426229508196,185.2295081967213
PPG35,186.094793223717,185.4622571001495,185.75597907324365,187.06614349775785
PPG36,184.60886280857952,184.01153379198706,184.47389720760825,185.34115742614327
PPG37,181.012399077278,180.60034602076124,180.62283737024222,181.81401384083046
PPG38,185.340099233198,184.1833558863329,186.0656292286874,185.77131258457374
PPG39,184.99440149293522,183.87683284457478,185.65689149560117,185.4494801386297
PPG40,184.55842525334052,184.3715361850955,183.77320419693302,185.530535377993
PPG41,183.47844010223432,182.6702943358892,183.7556270096463,184.00939896116745
PPG42,182.26838095238097,182.07314285714287,181.98057142857144,182.75142857142856
PPG43,183.9311717861206,183.52559726962457,183.82423208191128,184.44368600682594
PPG44,185.01721664275465,184.5864418938307,184.58285509325682,185.88235294117646
PPG45,177.53529649052038,177.6506655909641,176.92940701895927,178.02581686163776
PPG46,184.54754130800436,184.1887800534283,183.79430097951914,185.6595428910656
PPG47,181.2343318781675,180.3477344573235,181.08399819358723,182.27126298359175
PPG48,185.55148539778452,184.91691842900303,185.27832326283988,186.4592145015106
PPG49,185.74823897730235,185.36577093660318,185.3929037307592,186.48604226454475
PPG50,185.42009132420094,185.05728518057285,185.0337795765878,186.1692092154421
PPG51,187.12456296296295,186.15786666666668,187.14417777777777,188.07164444444444
