Ind,Img,Xnotch1,Ynotch1,Xnotch2,Ynotch2,Xattach,Yattach
PPG1,1,151.17134879838295,213.02008473779065,375.5184050068103,296.9432529154091,299.2436322724882,160.10826404369152
PPG1,2,155.95243608156736,210.66241170806225,380.1912875713242,295.5173528241315,303.78037881085095,158.54972731829037
PPG1,3,160.08510763008053,210.83478702838383,384.3782257533784,294.8103474539919,304.8020389917007,156.3246015684116
PPG1,4,163.8531646548663,209.96902567751383,389.3597035115298,293.601098256212,309.4429985059877,155.91246171065555
PPG1,5,168.25310746419257,210.34638718004828,393.5556788931375,295.4504666178388,332.341346588712,158.78466048922093
PPG1,6,170.63511255255975,211.559239686106,396.6680466680709,297.9431360565325,325.46047947218653,157.5240917353471
PPG1,7,172.67628683674565,210.14095378604787,400.3767783798885,296.4715554632932,327.4174861678763,156.97414072581904
PPG1,8,174.2310049229934,209.7797905428925,403.7576509792895,297.69215364495864,325.21213850557484,156.43459144458376
PPG1,9,174.98356076733174,206.9657653411075,406.4026930820074,297.3059035647193,341.2230650427466,156.4400836817417
PPG1,10,174.64685406783337,206.73128274108024,407.7170185648062,297.2744866051121,333.2300109517703,157.6135522469011
PPG1,11,176.29733034216568,206.5904991191091,411.3490349650385,297.3974820407202,335.78965458408265,157.6264927457882
PPG1,12,180.45154034307825,203.81946650802985,415.5732028178619,299.60110685699783,344.4733332595144,153.25823692223085
PPG1,13,179.90951308911357,206.29134296256524,420.1145580482952,299.64744546228866,350.22170804335406,157.17948806877436
PPG1,14,178.62538867702375,203.13688285929865,420.291138766354,298.6224938977536,349.8256971247275,155.16988796817105
PPG1,15,178.6722858222679,202.7451799570521,422.3970687061484,297.3018379518094,357.21758329393765,158.711135143107
PPG1,16,179.88938311378138,201.197407906502,425.67342883852734,299.00034977742814,359.6944207885043,159.0119723406754
PPG1,17,179.47161244968026,201.292101434346,428.22039502175033,299.7042242007191,360.16779999614266,157.73143995879542
PPG1,18,178.5460151867645,199.8519017510036,428.9274655291267,299.2453443608539,361.43256320371927,156.9192152455221
PPG1,19,177.51438297905165,197.6211422180411,430.3208989822398,299.69831240820065,361.48166335565855,155.43449997535674
PPG1,20,177.11605922326203,196.58991498392464,433.0089248923881,299.51793081146377,361.9411814766958,155.20907411747245
PPG1,21,176.18302397606,196.88966581325136,434.52541276914553,301.43406598499155,360.8946132885679,152.80008948570807
PPG1,22,175.59620783885998,194.94393543920395,436.8621372283069,301.7925578001288,364.18271293816736,151.955352023153
PPG1,23,174.78084705310107,194.90904759090435,438.6163538072629,303.738913680185,362.0231606909445,151.93611815264785
PPG1,24,173.72297786511703,194.58570949964945,440.6419591725463,304.2352289341675,355.34304188606137,146.31985112191683
PPG1,25,172.5143911464142,193.6583089762973,443.0563843922336,305.6106608691928,355.4687194551719,146.83185863058668
