Ind,lum,whiteR,whiteG,whiteB
PPG1,188.26651901070508,187.25249169435216,187.95681063122925,189.59025470653376
PPG2,185.25102606766504,184.4026622296173,185.32579034941764,186.02462562396008
PPG3,189.26414058209767,187.5183964854476,190.0219659527732,190.2520593080725
PPG4,187.27810402684565,186.73154362416108,187.09857382550337,188.0041946308725
PPG5,185.41343528126708,184.6799563080284,185.2736209721464,186.28672856362644
PPG6,185.52383229714653,184.93639406982305,185.5303682448589,186.10473457675752
PPG7,189.1283512064343,187.3709785522788,190.67024128686327,189.34383378016085
PPG8,186.6738069414317,186.0968004338395,186.4745119305857,187.45010845986985
PPG9,183.8335361966035,183.0026082420449,184.18831507563905,184.3096852721266
PPG10,184.12706110572265,183.2841901066925,185.5218234723569,183.57516973811832
PPG11,184.7703180212014,183.8508833922261,185.1095406360424,185.35053003533568
PPG12,185.334179357022,184.74111675126903,185.4327411167513,185.82868020304568
PPG13,181.20745272525028,180.777530589544,181.1635150166852,181.68131256952168
PPG14,185.6518912529551,184.5700354609929,186.34308510638297,186.04255319148936
PPG15,185.9974103746864,185.34984219470743,186.0169944161204,186.62539451323136
PPG16,185.7400419287212,185.0251572327044,185.7767295597484,186.4182389937107
PPG17,186.04458963778083,185.6777854195323,185.9384456671252,186.517537826685
PPG18,184.65527065527067,183.4957264957265,185.5189255189256,184.95115995115995
PPG19,185.3298611111111,184.3460648148148,185.6157407407408,186.02777777777777
PPG20,186.1696510560147,185.47796143250687,186.0103305785124,187.0206611570248
PPG21,189.33564938535545,187.46231961517904,190.74772848743987,189.79690005344736
PPG22,187.8339317773788,186.0394973070018,188.8061041292639,188.6561938958708
PPG23,185.61318489412795,185.10674525212835,185.5638506876228,186.1689587426326
PPG24,187.3378151260504,186.75294117647056,187.16638655462185,188.0941176470588
PPG25,185.7253206084104,184.68625111840143,186.4142558902476,186.07545481658207
PPG26,187.60848484848484,186.2927272727273,188.29090909090908,188.2418181818182
PPG27,188.8286916158979,187.5108790252393,190.22062663185372,188.7545691906005
PPG28,177.6697602474865,176.17169373549885,177.56496519721577,179.27262180974478
PPG29,184.831223628692,184.2956600361664,184.9276672694394,185.27034358047013
PPG30,181.04788213627992,179.74917127071822,180.8707182320442,182.52375690607727
PPG31,184.9012783327962,183.6851434096036,185.4537544311956,185.56493715758944
PPG32,187.3266865306746,186.3664909465964,187.2606005042402,188.3529681411873
PPG33,185.86225219701615,185.17780502759044,185.99570815450645,186.41324340895156
PPG34,187.42820512820512,186.5940828402367,187.65502958579881,188.03550295857988
PPG35,182.96231739707835,181.773406374502,183.4581673306773,183.65537848605578
PPG36,183.65670132871173,182.94324090121316,183.78856152512998,184.23830155979203
PPG37,185.59915254237285,184.8521186440678,185.85720338983052,186.08813559322033
PPG38,185.3139623462836,184.25138752856677,185.9092393078681,185.78126020241592
PPG39,179.80225988700568,178.87936191425723,180.28414755732803,180.2432701894317
PPG40,187.784044983307,185.9625724828677,189.38376383763838,188.00579862941487
