Ind,lum,whiteR,whiteG,whiteB
PPG1,219.01760902462516,218.8468840280644,218.44572843582336,219.76021460998763
PPG2,216.7317273473857,216.13085135505065,216.83246646591843,217.2318642211881
PPG3,214.5557156580212,214.30691642651297,213.95533141210376,215.4048991354467
PPG4,214.19217081850533,214.25860023724792,213.6227758007117,214.69513641755637
PPG5,214.2013221153846,213.74519230769232,214.88762019230768,213.97115384615384
PPG6,214.4569256756757,214.10388513513516,214.6283783783784,214.63851351351352
PPG7,215.74985875706216,216.11610169491524,215.25254237288132,215.88093220338985
PPG8,217.304868472713,217.42697290930508,216.23557126030624,218.25206124852767
PPG9,217.8544776119403,217.73134328358208,217.476368159204,218.35572139303483
PPG10,217.63472047078605,217.07986548970155,218.067675493905,217.7566204287516
PPG11,208.429718875502,208.7456492637216,207.7817938420348,208.76171352074965
PPG12,212.94287191417865,212.82822799534705,212.56417215975185,213.436215587437
PPG13,211.85170640486209,211.95119214586256,211.5220196353436,212.08190743338008
PPG14,219.10425240054872,218.85449735449737,218.49353321575543,219.9647266313933
PPG15,213.83705172698728,213.3777887952405,214.1665840356966,213.9667823500248
PPG16,201.02991452991452,202.0076923076923,201.84615384615384,199.23589743589744
PPG17,213.21735395189003,213.85154639175258,211.99278350515465,213.8077319587629
PPG18,218.19628782100176,218.2562929061785,218.00228832951944,218.3302822273074
PPG19,211.55231751318345,211.12156536219817,211.99333888426312,211.5420482930891
PPG20,209.51130291820797,210.13625154130702,208.9833538840937,209.41430332922317
PPG21,212.09862810530217,212.8020022246941,211.12124582869856,212.3726362625139
PPG22,211.12770862148454,210.71784232365144,210.80221300138314,211.86307053941908
PPG23,218.99560096494963,217.92975734355045,219.84844614729673,219.20859940400172
PPG24,212.1350017024174,212.45607763023494,211.3585291113381,212.59039836567928
PPG25,215.07037815126048,215.2468487394958,214.58823529411765,215.37605042016807
PPG26,216.84120258272802,216.23426150121065,216.3135593220339,217.97578692493946
PPG27,206.5372785021732,207.3360080240722,206.27081243731195,206.0050150451354
PPG28,206.79820261437908,208.12254901960785,206.99754901960785,205.27450980392157
PPG29,203.31016042780746,204.19786096256684,204.5668449197861,201.1657754010695
PPG30,216.3836108390467,216.62879529872674,215.58765915768853,216.93437806072478
PPG31,217.68306801736614,217.3357452966715,217.30390738060782,218.4095513748191
PPG32,218.2642857142857,217.15142857142857,218.42285714285714,219.21857142857144
PPG33,215.47395833333334,214.02008928571428,215.21428571428572,217.1875
PPG35,216.84885126964934,216.043530834341,216.726723095526,217.77629987908102
PPG36,216.94765840220384,216.79614325068871,216.54407713498622,217.50275482093664
PPG37,220.01611111111114,220.04833333333335,219.40333333333334,220.59666666666666
PPG38,217.12055679840913,216.3303504847129,218.13348247576437,216.8978374347502
PPG39,217.69421487603304,217.32598714416895,217.09733700642792,218.6593204775023
PPG40,210.92070484581498,211.11453744493392,210.1086637298091,211.53891336270192
PPG41,217.52006033182502,216.70316742081448,216.8606334841629,218.99638009049772
PPG42,208.626204238921,208.01300578034682,208.21965317919074,209.64595375722544
PPG43,214.79524807826692,215.12997903563942,213.76729559748426,215.48846960167714
PPG44,216.25747863247864,216.38782051282053,215.70192307692307,216.68269230769232
PPG45,215.8141414141414,215.21818181818182,216.43333333333334,215.79090909090908
PPG46,200.91283863368668,201.63957597173146,200.6643109540636,200.434628975265
PPGA,214.1401218450827,214.911227154047,213.54830287206266,213.96083550913838
PPGB,219.1964038727524,218.75103734439833,219.4232365145228,219.4149377593361
PPGC,216.7364341085271,216.7674418604651,216.3798449612403,217.06201550387595
