Ind,lum,whiteR,whiteG,whiteB
PPG1,212.71195385370643,212.0537555228277,213.00662739322533,213.07547864506628
PPG2,215.4428047839506,215.03009259259255,215.13541666666663,216.16290509259255
PPG3,215.6267489711934,214.83333333333331,215.9506172839506,216.0962962962963
PPG4,204.05181347150256,204.30984455958549,203.47046632124352,204.37512953367877
PPG5,215.24025341130604,214.4731968810916,215.04239766081872,216.2051656920078
PPG6,213.9791497427566,213.65475223395612,213.61738424045487,214.66531275385864
PPG7,218.52555978031265,217.2911913814956,219.334917617237,218.9505703422053
PPG8,217.67536837220092,217.66515837104072,216.75635224504003,218.6045945005221
PPG9,215.0176640779656,213.85472818638647,215.98812243033348,215.2101416171768
PPG10,214.86547085201792,214.34708520179373,214.5255605381166,215.7237668161435
PPG11,215.03370786516857,214.24157303370785,215.5533707865169,215.3061797752809
PPG12,213.94390507011863,212.99137001078748,213.7497303128371,215.0906148867314
PPG13,214.8877582485353,213.92876965772436,215.0619796484736,215.672525439408
PPG14,207.78742937853107,206.48305084745763,207.6885593220339,209.1906779661017
PPG15,210.6785950960901,210.6083499005964,209.9065606361829,211.52087475149105
PPG16,211.4768361581921,211.5491525423729,212.00338983050847,210.8779661016949
PPG17,210.4730994152047,210.1271929824561,210.41140350877197,210.880701754386
PPG18,202.34468524251807,204.3498452012384,202.07739938080496,200.60681114551085
PPG19,215.46666666666667,215.1820224719101,214.96404494382023,216.25393258426968
PPG20,216.2132253711201,215.32793522267207,217.1214574898785,216.1902834008097
PPG21,207.53393393393392,206.8,207.72612612612613,208.07567567567568
PPG22,215.71585482330465,215.0888252148997,215.44340974212034,216.615329512894
PPG23,212.63165438165439,213.17014742014743,211.99570024570025,212.72911547911548
PPG24,215.84817875726966,216.36730945821856,214.98347107438016,216.19375573921027
PPG25,215.40713224368497,214.62704309063892,215.72065378900444,215.8736998514116
PPG26,217.74096630125862,217.64311814859926,217.53836784409256,218.04141291108405
PPG27,218.19607843137257,217.52941176470588,218.30588235294118,218.75294117647059
PPG28,211.05145413870244,211.27628635346755,210.70581655480984,211.17225950782998
PPG29,215.09801539084648,214.76792223572298,215.03766707168893,215.48845686512757
PPG30,218.38776493256262,217.27384393063585,219.3020231213873,218.58742774566474
PPG31,216.95712560386474,215.90398550724638,217.78985507246378,217.17753623188406
PPG32,213.02257636122178,212.65338645418328,212.996015936255,213.4183266932271
PPG34,211.21891891891892,210.97297297297297,210.92297297297299,211.76081081081082
PPG35,215.81692708333333,215.27734375,215.60625,216.5671875
PPG36,213.56230816451807,213.62062615101289,213.35174953959483,213.71454880294658
PPG37,208.7953811369509,208.67926356589146,208.40552325581396,209.30135658914728
PPG38,212.5175533840029,213.12269272529858,212.35939196525516,212.07057546145495
PPG39,210.90850927703136,211.81285988483685,210.10364683301344,210.80902111324377
PPG40,215.87048192771087,216.0409638554217,214.94036144578314,216.63012048192772
PPG41,207.33333333333334,208.14117647058825,206.58823529411765,207.27058823529413
PPG42,215.91973969631238,215.31887201735358,215.34056399132322,217.0997830802603
PPG43,217.73310023310023,216.7277097902098,218.07473776223776,218.39685314685315
PPG44,208.69516235917828,209.1868787276342,208.49900596421472,208.39960238568588
PPG45,211.91623763994446,212.23731306692818,211.5516057857318,211.95979406717333
PPG46,206.4338287331918,206.28662420382165,206.3184713375796,206.6963906581741
PPG47,213.9591903362716,213.34182174338883,213.37316356513222,215.16258570029382
PPG48,211.87678767876787,211.40924092409242,212.54785478547853,211.67326732673268
PPG49,214.40438129070458,213.6696269982238,214.53907637655416,215.0044404973357
PPG50,209.4517543859649,210.02255639097746,209.18233082706766,209.15037593984962
PPGA,216.46228338430174,215.82110091743118,216.085626911315,217.48012232415903
PPGB,213.22202380952385,213.62857142857143,212.93928571428572,213.09821428571428
PPGC,200.97972531066057,200.90255068672334,200.53956834532374,201.4970568999346
