Ind,lum,whiteR,whiteG,whiteB
PPG1,198.33008130081302,198.66829268292682,198.18048780487806,198.14146341463416
PPG2,198.69616519174042,198.19308125502815,199.58487530168946,198.31053901850362
PPG3,194.8234234234234,194.75945945945946,194.65540540540542,195.0554054054054
PPG4,189.56314363143633,190.85447154471544,189.39918699186993,188.43577235772358
PPG5,195.3701550387597,195.1296511627907,195.94651162790697,195.0343023255814
PPG6,194.81039461020214,194.38979788257942,195.2829643888354,194.75842155919153
PPG7,198.69928469241776,198.6838340486409,198.54620886981402,198.86781115879828
PPG8,186.07637969094924,186.27682119205298,185.4973509933775,186.4549668874172
PPG9,198.02090729783038,197.8887573964497,197.9171597633136,198.25680473372782
PPG10,198.6059765865681,198.0993530499076,199.49121996303143,198.22735674676525
PPG11,193.38811810743505,192.85912486659552,194.53628601921025,192.76894343649946
PPG12,195.42852125043905,195.28451001053742,195.59430979978924,195.4067439409905
PPG13,191.99863177697966,192.0415597742432,191.9343252950231,192.02001026167267
PPG14,197.70192621612796,197.73261508325172,197.57051909892263,197.80264446620959
PPG15,188.08518768262533,188.34254888739042,188.60552933243426,187.30748482805126
PPG16,187.0408163265306,186.97278911564626,187.76190476190476,186.3877551020408
PPG17,196.7138508371385,197.0958904109589,196.70091324200914,196.3447488584475
PPG18,197.65114090802163,197.81439661256175,197.44883556810163,197.69019054340154
PPG19,191.36880856760374,190.7620481927711,192.41967871485943,190.92469879518072
PPG20,194.6756646216769,194.97791411042945,194.30061349693253,194.74846625766872
PPG21,193.68212560386473,194.1695652173913,192.9768115942029,193.9
PPG22,196.79792072774526,196.19103313840156,196.9561403508772,197.2465886939571
PPG23,200.43573535608934,200.38432364096082,200.3754740834387,200.5474083438685
PPG24,190.8544061302682,191.2210433244916,190.64898320070733,190.69319186560566
PPG25,193.17944785276075,193.41717791411043,193.04754601226995,193.07361963190183
PPG26,196.76937618147448,196.28544423440454,196.93005671077503,197.09262759924385
PPG27,188.1270833333333,188.7,187.94375,187.7375
PPG28,187.98809523809527,188.32142857142858,187.83673469387756,187.80612244897958
PPG29,187.2026666666667,187.03733333333332,187.70666666666668,186.864
PPG30,197.42996201329535,197.47222222222223,197.17236467236467,197.64529914529913
PPG31,197.20071206052512,196.93457943925233,196.87449933244326,197.79305740987985
PPG32,197.8741594620557,198.0268972142171,197.57444764649375,198.0211335254563
PPG33,195.21583459404943,195.1996974281392,194.87897125567324,195.56883509833585
PPG34,196.9024068578965,196.68842729970328,196.5291790306627,197.48961424332344
PPG35,198.79549114331724,199.07487922705315,198.07045088566827,199.24114331723027
PPG36,195.56274980015988,195.78992805755396,195.37601918465228,195.5223021582734
PPG37,196.8503210194563,196.48539312686611,196.86967976113812,197.19589017036472
PPG38,198.96906896417897,197.94027244149493,200.06485039003377,198.90208406100825
PPG39,193.66519434628972,193.547703180212,193.684628975265,193.76325088339223
PPG40,189.5132575757576,190.13636363636363,189.21212121212122,189.19128787878788
PPG41,197.09752616555662,196.5746907706946,196.8896289248335,197.82825880114177
PPG42,184.93526570048311,184.63864734299517,184.52753623188406,185.63961352657006
PPG43,194.79962209052647,194.73202782787942,194.65215150734346,195.0146869363566
PPG44,196.4756158873806,196.79004524886878,196.17737556561087,196.45942684766214
PPG45,196.4235632183908,196.4293103448276,196.00344827586207,196.83793103448275
PPG46,186.57612239779283,186.65086531226487,186.03762227238525,187.03987960872837
