Ind,lum,whiteR,whiteG,whiteB
PPG1,194.34849827671096,193.9045790251108,194.9937961595273,194.14711964549485
PPG2,195.6989496172334,195.66120705002672,195.81466975253693,195.62097204913653
PPG3,198.1564963132469,198.2627765064836,198.08543096872617,198.12128146453088
PPG4,193.18587621627043,193.3692446584412,192.7676798074029,193.4207041829672
PPG5,194.6907954466094,194.39168238005448,194.7991829038341,194.8815210559397
PPG6,196.990675990676,197.1941904249597,196.9182356105433,196.85960193652505
PPG7,199.28848541278708,198.3314711359404,200.3128491620112,199.22113594040968
PPG8,197.36480654761905,196.7662946428572,197.85424107142856,197.47388392857144
PPG9,197.14821554948944,196.5911434637549,197.6223839854413,197.2311191992721
PPG10,197.5243516761544,197.30929791271348,197.5521821631879,197.71157495256168
PPG11,196.94239290989665,196.31166912850813,197.64844903988185,196.8670605612999
PPG12,193.49512987012983,193.3944805194805,193.70616883116884,193.38474025974023
PPG13,195.14200792602367,194.8791281373844,195.3883751651255,195.15852047556143
PPG14,188.8079615048119,187.8963254593176,188.8031496062992,189.7244094488189
PPG15,192.3208151382824,192.5257641921397,191.9423580786026,192.4943231441048
PPG16,191.80869227784245,191.72176949941792,192.3864959254948,191.31781140861463
PPG17,189.16603773584907,188.9320754716981,189.6867924528302,188.8792452830189
PPG18,190.5029585798817,191.30769230769232,190.7041420118343,189.4970414201184
PPG19,195.4846994535519,195.28360655737703,195.4,195.7704918032787
PPG20,195.44557938939963,195.1378958120531,196.2110997616616,194.98774259448416
PPG21,189.15624041705,188.76402943882243,189.7608095676173,188.9438822447102
PPG22,193.94525053201772,193.79860708067324,194.11878506480943,193.9183594505707
PPG23,193.36224363726217,193.6673461823573,193.2781690140845,193.14121571534469
PPG24,196.5272867025365,197.13528055342044,195.7640276710223,196.6825518831668
PPG25,197.12379376895504,196.413564929694,198.15219189412736,196.80562448304383
PPG26,197.04067630482723,196.299436412644,198.40945846606223,196.4131340357756
PPG27,199.3400475590992,199.3176668065464,199.53797733948804,199.16449853126312
PPG28,194.4559053360125,194.3087742799732,194.5452109845948,194.51373074346952
PPG29,198.36953748006377,198.40095693779904,198.3023923444976,198.40526315789472
PPG30,198.0204220558203,197.2452915815748,199.3598820058997,197.4560925799864
PPG32,192.8983498349835,192.6138613861386,193.04158415841584,193.03960396039605
PPG33,199.96720333929636,199.80322003577817,199.60644007155636,200.49194991055455
PPG34,195.24756944444445,195.328125,195.328125,195.08645833333333
PPG35,195.14609929078014,195.22674772036473,195.0449848024316,195.16656534954407
PPG36,194.35569620253167,195.2367088607595,194.04683544303796,193.78354430379747
PPG37,189.26834969611969,189.67461430575034,189.24754558204768,188.882889200561
PPG38,194.98643067846606,195.54601769911505,194.7787610619469,194.63451327433629
PPG39,191.5766140205043,191.60847880299252,192.5648379052369,190.55652535328346
PPG40,188.4282700421941,188.4006329113924,188.0867088607595,188.79746835443038
PPG41,192.83893531414424,193.01857010213556,192.66963788300836,192.82859795728876
PPG42,195.32977320675104,195.21993670886076,195.32318037974684,195.44620253164558
PPG43,196.45010615711251,196.8104337276312,196.06308765544435,196.47679708826206
PPG44,190.53786574870912,192.02667814113596,190.49483648881238,189.092082616179
PPG45,197.1904186795491,197.42632850241546,197.40217391304347,196.7427536231884
PPG46,189.0314285714286,189.08,188.9142857142857,189.1
PPG47,195.78500142571997,195.25278015397777,196.7356715141146,195.36655260906758
PPG48,192.9428263214671,192.31499460625673,193.86192017259978,192.65156418554477
PPG49,194.25482093663913,193.61880165289256,195.56611570247935,193.57954545454547
PPG50,196.31076724693744,196.24177949709863,196.67117988394585,196.0193423597679
