Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,TauFlux,A0,Aeq,A0-Aeq,Ecomp,EcompNG,1/Ecomp,L/H_Comp,H/L_Comp,Tdeb,tdebShift,GR_InOC,fitR2,fit_name,ChipRow,TauFluxRel,A0Rel,AeqRel,A0Rel-AeqRel,Erel,RevE,RevA,1/Erel,L/H_Rel,H/L_Rel,TdebRel,GrowthSlope,GR_AfterOC,E,1/E,fitR2rel,Expe
PPG5,0,0.0,0.5958380976,337.49918355369726,261.40263115181625,391.0,522.0,0.8091725261469184,0.596138432881994,0.581349026633056,0.014789406248937986,9.98671525125201,9.986715295913328,0.10013302375899419,2.0624572422481467e-09,484858536.46593267,2.480186615023445,5.0,1.3245308002303258e-12,0.998,Osmotic choc fit,11.0,0.46535443442789975,0.5809555686486688,0.5959384055173917,-0.014982836868722926,9.606720427776404,0.9619499691424599,1.0130789983403714,0.10409379637078317,3.728118779640677e-09,268231797.0824904,15.488725421093337,0.00013998902105523937,0.34698727613273317,9.796717861844865,0.10207500247554188,0.999,221025_100mM_Osmo
PPG5,1,0.5,0.5961166039999999,337.8823955391957,260.3688593183364,390.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,2,1.0,0.5963311292,337.4522648965408,261.54404115293187,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,3,1.5,0.5961655307999999,338.1166476745927,260.3571862898182,390.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,4,2.0,0.5962408027999999,338.0915458171912,260.2849044117112,390.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,5,2.5,0.5957364804,338.22376934963773,260.4011314833492,390.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,6,3.0,0.589455032,337.6930035738075,261.4974129105735,388.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,7,3.5,0.585108074,336.57364251210845,263.64379177187845,387.0,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,8,4.0,0.583395636,336.6456317331913,263.0180837831673,385.0,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,9,4.5,0.5824754357999999,336.83901385500394,262.5855839978523,386.0,516.8496309087138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,10,5.0,0.5824377997999999,337.0914899318106,262.716261555564,386.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,11,5.5,0.5819711134000001,336.7448353403815,262.80951160976883,386.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,12,6.0,0.5821009575999999,337.03998864789304,262.85260912836577,386.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,13,6.5,0.5815251268,336.94033887720286,262.5874826713923,386.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,14,7.0,0.5819598226,336.5652214791429,263.2965402108558,386.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,15,7.5,0.5813557648,336.97332659123765,264.08381274720614,385.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,16,8.0,0.5812108662,336.30813322233536,263.788928923464,386.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,17,8.5,0.5814310368,336.93854162745185,263.1814145761791,385.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,18,9.0,0.5808796694,336.5882775570151,262.9522054281812,385.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,19,9.5,0.5813425922,336.30773754214414,263.7310442964504,386.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,20,10.0,0.5811544122,336.94760115135625,263.1021956431498,385.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,21,10.5,0.5809474142,336.90331902750063,263.5212874188824,385.0,515.6882157234693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,22,11.0,0.5812353295999999,337.03815903852586,263.1222133460672,386.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,23,11.5,0.5812183933999999,336.8682640123316,263.8777563339455,386.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,24,12.0,0.5812428568,337.1017526653624,264.38212172190947,385.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,25,12.5,0.5808589695999999,337.0458183354793,263.13968747499115,385.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,26,13.0,0.5808777876,336.2409594764764,264.0777086834077,385.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,27,13.5,0.5815947533999999,336.99275642955,263.237321563063,385.0,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,28,14.0,0.5807912248,337.2013110576872,262.9329100975351,385.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,29,14.5,0.580874024,337.0361013046136,263.0968254379722,385.0,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,30,15.0,0.5807366526000001,336.3497589902589,263.9141240785558,384.0,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,31,15.5,0.5813143652,337.1053894616012,263.0249154597971,385.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,32,16.0,0.5910056352,337.83309551275704,261.2663101549674,389.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,33,16.5,0.5944775562,337.805358242475,261.6613877546738,390.0,521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,34,17.0,0.5954034018,338.20037424774824,261.19139599163793,390.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,35,17.5,0.5959133696,337.7358303916614,262.01037337698483,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,36,18.0,0.5964195738,337.51885582633173,261.393566653782,390.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,37,18.5,0.5962859660000001,337.4523257220102,261.42945700067577,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,38,19.0,0.5966773804000001,337.40916487060093,261.51021437596074,390.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,39,19.5,0.5966021084,337.9497268911972,261.08717762792844,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,40,20.0,0.596135422,338.5020687644826,261.3812693151258,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,41,20.5,0.5967808794,338.0173373432493,261.91957035340647,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,42,21.0,0.596794052,337.6887781854061,261.0499562568135,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,43,21.5,0.5967639431999999,337.80203786908305,260.5280578189729,390.0,522.932331993179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,44,22.0,0.596878733,338.3464741592982,260.3500836746456,390.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,45,22.5,0.5965795268,338.29155893522017,260.265792274024,392.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,46,23.0,0.5973284832,337.9355551406243,261.4591292431045,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,47,23.5,0.5969935228,337.75981799528904,261.34435268701395,391.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,48,24.0,0.5966491533999999,338.6287790125316,260.38757615161416,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,49,24.5,0.5971722938,337.8372732758587,261.589802922428,390.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,50,25.0,0.5975486538,338.14044980737947,261.353911267149,390.0,522.4332526728997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,51,25.5,0.5977180158,337.992132958058,261.58234854496203,391.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,52,26.0,0.5974225732,338.40021692026875,261.24996941188783,390.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,53,26.5,0.597236275,338.46640438531466,260.802882392966,391.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,54,27.0,0.5975693536000001,337.92321575402644,260.57020534698165,391.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,55,27.5,0.5976088714,337.88198111687035,261.20364680362616,391.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,56,28.0,0.5974602091999999,337.971179017963,261.11692860917805,390.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,57,28.5,0.5971572394,339.1722565056699,259.97056911541193,391.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,58,29.0,0.5975637082,338.4767158021692,261.0799334901443,391.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,59,29.5,0.5976991977999999,338.5232111562472,259.9899670931086,391.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,60,30.0,0.5977744697999999,337.97680961258754,260.4380758128216,391.0,522.9516676373171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,61,30.5,0.5980191037999999,338.245525798137,261.034305326315,390.0,522.5135025943721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG5,62,31.0,0.5982524469999999,338.20077496785126,261.1847384354977,390.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,0,0.0,0.5730419724,375.0289001910067,376.5769657386007,458.0,454.9736127727109,0.8876427446517797,0.5739025820787733,0.5617258775548902,0.012176704523883086,11.67709182149588,11.677091466596229,0.08563776372400818,1.6079622430161221e-09,621905150.0390072,2.72057889469068,5.0,3.901201869292144e-12,0.985,Osmotic choc fit,70.0,0.3718538318471454,0.561116057659805,0.57273683066996,-0.011620773010154961,11.963106344074268,1.0244936433617722,0.9543446658627763,0.08359032940431345,3.7465585599000536e-09,266911616.09033462,15.500000072308483,0.0002746630229701665,0.7048715638732148,11.820098905335248,0.08460166095129958,0.989,221025_100mM_Osmo
PPG8,1,0.5,0.5736742572,375.05017884519225,376.5736453508361,458.0,457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,2,1.0,0.5728613196,375.23081805380025,376.85864315364086,458.0,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,3,1.5,0.5747600558,374.832813022838,376.6979780556186,459.0,457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,4,2.0,0.5752907234,374.6798234642956,376.7030288924985,459.0,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,5,2.5,0.5737871652,374.5547897797027,376.4735356582776,458.0,457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,6,3.0,0.5708101575999999,373.9378255420447,377.2820491976682,458.0,453.4657994974879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,7,3.5,0.5664274454,373.3341405367183,378.3189574762258,457.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,8,4.0,0.5646679624,372.8112656142787,377.7305743168165,455.0,451.9089259735957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,9,4.5,0.5629235337999999,372.7034479978515,378.3371045166057,454.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,10,5.0,0.5626544364,372.4037000904981,378.7974755272986,451.0,450.7042068657288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,11,5.5,0.5627278266,372.685020993978,378.1957650216164,455.0,451.5158430714117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,12,6.0,0.5629705788,372.52465712392416,378.277756816648,454.0,451.56044599666245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,13,6.5,0.562263022,372.7159632313772,378.3921142519172,449.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,14,7.0,0.5620183879999999,372.6611620767376,378.27913392278896,454.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,15,7.5,0.5618339715999999,372.609323415098,378.2110772029382,453.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,16,8.0,0.5620334424,372.8699485527157,378.0126568275707,453.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,17,8.5,0.56218775,372.5466572889897,378.5106949219613,452.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,18,9.0,0.5615535834000001,372.754841820352,378.7928955185391,454.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,19,9.5,0.5612054504,372.8545548077103,378.5201198460615,453.0,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,20,10.0,0.5617643449999999,372.7919298393053,378.699151390564,450.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,21,10.5,0.5600914248,373.0074418771652,379.1803179754103,449.0,449.83362614796187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,22,11.0,0.5617342362,372.7537436964057,378.2653477437103,454.0,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,23,11.5,0.5618358534,372.7479822673863,378.3530042535607,453.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,24,12.0,0.5614180938000001,372.8332933052962,378.10085903511913,454.0,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,25,12.5,0.5611075967999999,372.7622654451023,378.62156108592944,453.0,449.87909902576655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
PPG8,26,13.0,0.5619562886,372.8327407052584,378.4866175669958,453.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo
