Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,TauFlux,A0,Aeq,A0-Aeq,Ecomp,EcompNG,1/Ecomp,L/H_Comp,H/L_Comp,Tdeb,tdebShift,GR_InOC,fitR2,fit_name,ChipRow,TauFluxRel,A0Rel,AeqRel,A0Rel-AeqRel,Erel,RevE,RevA,1/Erel,L/H_Rel,H/L_Rel,TdebRel,GrowthSlope,GR_AfterOC,E,1/E,fitR2rel,Expe
PPG2,0,0.0,0.2706649393999999,275.63711404745254,219.80194933009705,281.0,349.0,0.467036596785041,0.2705057391257243,0.2657107881093429,0.004794951016381388,13.977148938697143,14.47056311652377,0.06910581101423147,2.5531671242040174e-09,391670404.3852056,2.5961691152862816,5.0,3.221677422571371e-07,0.981,Osmotic choc fit,85.0,0.41869309077893785,0.2655466524874317,0.271165754705215,-0.005619102217783278,11.708470951363747,0.8376866414399912,1.171878961554826,0.08540824879302662,3.399795326378281e-09,294135353.4553139,15.880733955634401,0.00011910858743800873,0.6458991830780109,13.089517033943759,0.07639701277035647,0.995,221025_100mM_Osmo2
PPG2,1,0.5,0.2707119844,275.6772230815309,218.48216715580517,283.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,2,1.0,0.2700157184,275.6295615737687,218.98593433722297,281.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,3,1.5,0.2709189823999999,275.53584843149224,218.35968385043344,283.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,4,2.0,0.270217071,282.4740384479868,220.17789319858773,280.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,5,2.5,0.2695659682,286.72837979447763,220.1719722851156,279.0,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,6,3.0,0.2671328007999999,286.20750497586346,219.09562789716992,277.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,7,3.5,0.2659886663999999,286.1816305711683,218.5553055348156,276.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,8,4.0,0.2658663494,286.27157993865467,218.3720927231148,275.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,9,4.5,0.2657553232,286.475681204952,217.96656926631533,275.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,10,5.0,0.2659754938,286.4001874864552,217.86031998409956,275.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,11,5.5,0.2659359759999999,287.1618479191811,218.74156147525983,275.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,12,6.0,0.2659359759999999,287.0838260780284,218.5525974210523,275.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,13,6.5,0.26599243,287.2196018215939,218.85438458624415,276.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,14,7.0,0.265728978,287.5426537961508,218.36072203192435,275.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,15,7.5,0.265681933,287.9205980120063,217.30725316213707,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,16,8.0,0.265437299,288.5006585736767,217.0125204345269,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,17,8.5,0.2659039854,288.8385234871583,216.66509545022288,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,18,9.0,0.266171201,288.60256920707474,215.97392734155815,275.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,19,9.5,0.2650966931999999,288.8561685439065,215.8806136651926,272.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,20,10.0,0.2659228033999999,288.9430218275192,215.4728112270707,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,21,10.5,0.265390254,288.8075103173892,215.39532560730905,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,22,11.0,0.2655991338,289.2714707575973,215.60010598042115,274.0,344.8643981335248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,23,11.5,0.2656499424,289.0560015298132,215.39156556168092,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,24,12.0,0.2659303306,289.2489091670134,215.30234358649952,275.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,25,12.5,0.2655765522,289.5921960857353,215.57763908754123,273.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,26,13.0,0.2657214508,289.23292965208987,215.01742262428704,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,27,13.5,0.2652754642,289.4335772916258,215.43272808087727,273.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,28,14.0,0.2654203628,289.308585483893,215.52305345883528,272.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,29,14.5,0.2652773459999999,289.3949408994045,215.59540039387943,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,30,15.0,0.2654429444,289.15320885422057,215.31827404594,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,31,15.5,0.265625479,289.46977975189213,214.8682247059733,274.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,32,16.0,0.2669502662,290.06702795184435,217.2547230452996,274.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
PPG2,33,16.5,0.2699950186,290.47432438448834,216.7731560020673,277.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221025_100mM_Osmo2
