Ind,lum,whiteR,whiteG,whiteB
PPG2,212.11637931034485,212.56034482758625,212.55603448275863,211.23275862068965
PPG3,198.8868739205527,201.4818652849741,199.3549222797928,195.8238341968912
PPG5,206.93201320132013,206.1940594059406,209.09504950495048,205.5069306930693
PPG7,209.55240346729707,209.89716312056737,209.68203309692672,209.0780141843972
PPG8,210.7457989611977,210.9450045829514,210.79926672777268,210.49312557286893
PPG9,210.0998751560549,210.812734082397,210.57116104868916,208.91573033707863
PPG12,215.97323600973235,215.43649635036496,217.3970802919708,215.08613138686133
PPG14,210.9872842870118,210.8882833787466,211.5531335149864,210.5204359673025
PPG15,212.6873015873016,213.6190476190476,212.96190476190475,211.4809523809524
PPG16,210.7242948134668,209.7925386715196,212.4658780709736,209.9144676979072
PPG19,208.4770459081836,209.19760479041915,208.4750499001996,207.75848303393207
PPG20,209.4126213592233,210.05016181229772,209.57119741100323,208.6165048543689
PPG21,211.4173789173789,211.36068376068377,211.96068376068376,210.93076923076924
PPG22,210.40999379267532,210.00465549348232,212.07728119180632,209.14804469273744
PPG23,208.3411306042885,208.2690058479532,209.9122807017544,206.8421052631579
PPG25,209.28504672897196,209.21495327102804,209.59345794392524,209.0467289719626
PPG27,212.2525433871933,211.9245960502693,212.2369838420108,212.5960502692998
PPG28,209.0563862928349,209.12056074766355,209.4373831775701,208.61121495327103
PPG29,212.21685606060603,211.5681818181818,213.04261363636363,212.03977272727272
PPG31,191.2753719742394,190.91738840772817,192.3537641572285,190.5549633577615
PPG32,209.8630705394191,209.79253112033197,209.63070539419087,210.16597510373444
PPG33,209.99012567324957,210.08258527827647,210.1310592459605,209.75673249551167
PPG35,211.29861111111111,210.72767857142856,213.08482142857144,210.08333333333331
PPG38,208.55689102564105,208.80769230769232,209.42307692307693,207.43990384615384
PPG39,213.8027397260274,213.6164383561644,213.93835616438355,213.85342465753425
PPG42,205.67361111111111,205.45625,205.85625,205.70833333333331
PPG43,209.04820261437908,209.02941176470588,209.093137254902,209.02205882352945
PPG45,210.57684862562917,210.6991869918699,210.93031358885017,210.10104529616729
PPG46,211.62599206349205,211.8501984126984,212.16468253968253,210.86309523809524
PPGA,213.3340149965917,213.31697341513294,213.47648261758692,213.2085889570552
PPGB,213.4528437724982,212.6609071274298,215.69330453563714,212.00431965442763
PPGC,202.10804597701147,204.5103448275862,202.8183908045977,198.99540229885056
PPGD,212.04746136865342,211.34437086092714,213.5066225165563,211.2913907284768
PPGE,209.2216748768473,209.95566502463055,209.13793103448276,208.57142857142858
PPGF,206.65772870662462,207.84700315457414,206.71451104100947,205.41167192429023
PPGH,211.75328083989498,210.84251968503938,212.6771653543307,211.74015748031496
PPGI,214.77830188679243,215.6179245283019,214.33018867924528,214.38679245283018
PPGJ,216.04318936877075,216.5581395348837,215.59468438538207,215.97674418604652
PPGK,212.83669548511048,212.52737752161383,212.71469740634006,213.26801152737752
