Ind,lum,whiteR,whiteG,whiteB
PPG1,215.74654377880188,215.21013824884795,216.5852534562212,215.4442396313364
PPG2,218.77049180327867,218.50819672131144,218.96174863387975,218.8415300546448
PPG3,209.22222222222223,209.29107981220656,209.5023474178404,208.8732394366197
PPG4,217.33671399594323,216.5375253549696,217.3793103448276,218.0933062880325
PPG5,214.95549738219893,214.3952879581152,215.1832460732984,215.28795811518324
PPG6,216.1491628614916,214.76712328767124,218.2054794520548,215.47488584474883
PPG7,214.29331864904552,213.8215859030837,214.70264317180616,214.3557268722467
PPG8,214.6425460636516,214.12361809045225,215.06231155778892,214.7417085427136
PPG9,215.86244204018547,215.1854714064915,215.81684698608964,216.58500772797527
PPG10,208.2074935400517,208.6891472868217,208.0201550387597,207.91317829457364
PPG12,218.32278719397365,217.2,219.30169491525425,218.46666666666667
PPG14,212.08237986270024,210.8312356979405,213.6081235697941,211.8077803203661
PPG15,217.5371747211896,216.66171003717471,217.9014869888476,218.0483271375465
PPG16,207.82708645677164,206.3433283358321,208.335832083958,208.80209895052477
PPG17,214.1675041876047,212.679648241206,214.58417085427132,215.23869346733667
PPG18,217.2443946188341,216.15470852017935,218.62892376681611,216.94955156950672
PPG19,219.2952380952381,218.07551020408164,220.62244897959184,219.18775510204082
PPG20,212.80672268907563,212.04873949579832,212.73949579831933,213.63193277310924
PPG21,217.4849648112604,216.063339731286,219.17274472168907,217.21880998080613
PPG22,215.20442219440966,213.57071339173967,216.22277847309135,215.819774718398
PPG23,211.08395429706903,211.02831594634873,211.0461997019374,211.177347242921
PPG24,218.94368828396048,218.30824659727782,219.21537229783826,219.3074459567654
PPG25,215.92847503373818,215.49681897050317,216.19895893580104,216.08964719491036
PPG26,211.44607843137257,210.2941176470588,211.4485294117647,212.59558823529412
PPG27,209.6240409207161,209.69565217391303,209.9156010230179,209.2608695652174
PPG28,212.11968503937007,212.08188976377951,212.044094488189,212.23307086614173
PPG29,211.9198242723778,212.20593080724876,211.9044481054366,211.6490939044481
PPG30,206.885,206.343,207.235,207.077
PPG31,214.5925925925926,213.8415300546448,214.85792349726776,215.0783242258652
PPG32,217.30459165790396,216.69716088328076,217.4689800210305,217.74763406940062
PPGA,215.8217418546366,214.0093984962406,217.34586466165413,216.10996240601503
PPGB,218.11571025399812,216.82408278457197,219.52681091251176,217.99623706491062
PPGD,217.35939323220535,217.1131855309218,217.40373395565928,217.56126021003502
