Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,TauFlux,A0,Aeq,A0-Aeq,Ecomp,EcompNG,1/Ecomp,L/H_Comp,H/L_Comp,Tdeb,tdebShift,GR_InOC,fitR2,fit_name,ChipRow,TauFluxRel,A0Rel,AeqRel,A0Rel-AeqRel,Erel,RevE,RevA,1/Erel,L/H_Rel,H/L_Rel,TdebRel,GrowthSlope,GR_AfterOC,E,1/E,fitR2rel,Expe
PPG4,0,0.0,0.8025575911999999,358.6160777798128,405.88158528971337,578.0,483.0,0.8601933045410095,0.8054122839330015,0.789460163773736,0.015952120159265504,12.509101631668836,12.699290327165556,0.07874455770657202,1.5489113807010524e-09,645614728.163073,2.2392584013343098,4.0,0.06273850896547031,0.988,Osmotic choc fit,71.0,0.7740942866765135,0.7896172587590121,0.807089747433985,-0.017472488674972864,11.19665118925093,0.8950803598001617,1.095308241194778,0.08931241878464745,1.9229444509509783e-09,520035822.93053615,17.4999997792578,0.0003440041402216121,0.6273494613043977,11.947970758208243,0.08369622090956333,0.996,230221_Ct_Osmo
PPG4,1,0.5,0.8057415967999999,359.0445842213205,405.9712074851687,579.0,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,2,1.0,0.806323073,358.8955902844364,405.7380039044236,578.0,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,3,1.5,0.8060558574,358.24224596022714,405.8263099118625,579.0,486.61195317012937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,4,2.0,0.8063832905999999,358.25545842820577,405.85533467685417,579.0,487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,5,2.5,0.8012459766,359.5467531173539,405.9955088534364,578.0,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,6,3.0,0.7957078391999999,360.0044605106877,406.4656443452144,577.0,483.9921080502219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,7,3.5,0.7930733191999999,360.29214601657975,406.6477862669767,575.0,482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,8,4.0,0.7915189523999999,360.3694954328593,407.1646311067199,575.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,9,4.5,0.7908132774000001,360.760963355596,407.25407056782433,573.0,482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,10,5.0,0.7909431215999999,360.5637869413439,407.1080870601528,574.0,481.755244671144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,11,5.5,0.7900210396,360.8789908545572,407.28027266024014,574.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,12,6.0,0.7896277434,360.8513057964757,407.6325784372988,573.0,480.91285137799207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,13,6.5,0.789546826,360.3068028323334,407.1555584576692,573.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,14,7.0,0.7893360643999999,360.5917026727112,407.629766270952,573.0,481.87888168179535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,15,7.5,0.7897331242,360.9178776813346,407.3945183431415,574.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,16,8.0,0.7896202161999999,360.8932637920269,407.302897069043,572.0,480.7581100987172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,17,8.5,0.7897801692,360.3323935906904,407.474383110162,573.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
PPG4,18,9.0,0.7897876964,360.6043721851813,407.3398198412388,573.0,480.989636756844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230221_Ct_Osmo
