Ind,lum,whiteR,whiteG,whiteB
PPG1,172.96555750145944,173.33975481611208,172.90192644483363,172.65499124343256
PPG2,173.02921884317234,172.94454382826476,173.88550983899822,172.25760286225403
PPG3,171.41923436041085,171.64705882352942,171.7703081232493,170.8403361344538
PPG4,168.92228212039532,169.0053908355795,169.18463611859838,168.5768194070081
PPG5,172.9238451935081,172.44101123595505,173.8323970037453,172.49812734082397
PPG6,170.50181080689555,170.30073880921339,171.28335506301607,169.9213385484572
PPG7,172.2480794453813,172.5255761663856,172.2433951658235,171.9752670039348
PPG8,172.96417729204617,173.27322404371586,172.83970856102005,172.77959927140256
PPG9,169.5895221646517,170.0544041450777,169.44300518134716,169.27115716753022
PPG10,172.2278787878788,172.94181818181818,172.0218181818182,171.72
PPG11,174.31807228915662,174.39518072289155,175.17831325301205,173.38072289156628
PPG12,174.5199761478831,174.0277280858676,175.54293381037567,173.9892665474061
PPG13,173.04071013161922,173.3921028466483,172.83011937557393,172.89990817263543
PPG14,172.43719485130939,172.33288948069242,172.63515312916113,172.34354194407456
PPG15,172.1064547206166,172.58092485549133,171.76950867052022,171.96893063583815
PPG16,171.03599861543788,171.63655244029076,170.4735202492212,170.99792315680165
PPG17,170.18830409356724,171.14736842105262,169.88771929824563,169.5298245614035
PPG18,165.9787326388889,165.69661458333334,165.64453125,166.59505208333334
PPG19,171.21407867494827,171.07577639751554,171.3689440993789,171.19751552795032
PPG20,172.1627906976744,172.21594684385383,172.15116279069767,172.12126245847176
PPG21,171.8750745378652,172.27325581395348,171.67128801431127,171.68067978533094
PPG22,171.2367906066536,172.13111545988258,170.6457925636008,170.9334637964775
PPG23,172.34135802469135,172.78518518518518,172.10555555555555,172.13333333333333
PPG24,170.7374730487279,170.73738680465718,171.475808538163,169.99922380336352
PPG25,164.97985476692432,165.33028812368235,165.02810962754742,164.5811665495432
PPG26,175.19904711487558,174.9227104287983,176.1492853361567,174.52514557967177
PPG27,169.14850948509482,169.56422764227642,169.35447154471544,168.5268292682927
PPG28,164.63856589147287,164.39098837209303,164.7906976744186,164.73401162790697
PPG29,167.7005108556833,168.31226053639847,167.68869731800766,167.1005747126437
PPG30,169.9885496183206,169.86259541984734,170.16030534351145,169.94274809160305
PPG31,172.10192147034252,172.26817042606515,172.34335839598998,171.69423558897242
PPG32,173.7004334930413,173.3990417522245,175.0485968514716,172.6536618754278
PPG33,172.04484463276836,172.56514830508473,171.416843220339,172.15254237288136
PPG34,170.48685714285713,170.92685714285713,170.40685714285715,170.12685714285715
PPG35,174.50507099391484,174.04361054766736,175.27789046653143,174.19371196754565
PPG36,174.54246165357276,174.90011223344555,174.35914702581368,174.36812570145904
PPG37,170.731893837157,171.17948717948718,170.914979757085,170.1012145748988
PPG38,168.0649762282092,168.68700475435816,167.6458003169572,167.8621236133122
PPG39,173.24864446165762,172.7986057319907,174.0619674670798,172.8853601859024
PPG40,171.68815513626836,171.81446540880503,171.5676100628931,171.6823899371069
PPG41,167.06271301976824,166.68098159509202,167.24335378323107,167.2638036809816
PPG42,171.0595461170102,171.65146783260462,170.8800749531543,170.6470955652717
PPG43,169.27781435154708,169.42659644502962,169.16589861751152,169.24094799210008
PPG44,170.74248366013072,171.31503267973855,170.40522875816993,170.50718954248367
PPG45,167.97767857142858,167.765625,167.6875,168.47991071428572
PPG46,171.99933333333334,172.038,172.076,171.884
PPG47,171.9406487232574,171.78674948240166,172.58178053830227,171.45341614906832
PPG48,172.48801639861244,172.81456953642385,172.62582781456953,172.0236518448439
PPG49,169.29131886477464,169.3397328881469,168.85893155258765,169.6752921535893
