Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,G,A0fit,fitR2,Expe
PPG1,0,0.0,0.2696939305999999,352.4862768341316,366.3264904957784,314.0,306.0,0.00010863451452964993,282.17328554555286,8.0,0.07975900361281482,85.0,0.33997041198094446,395.0,736.2630589565525,11.0,0.1555132081836074,ExpDel,282.17328554555286,8.0,1252.5268271784037,1.1496759740020273,0.27714987941225305,0.989,230221_Ct
PPG1,1,30.0,0.2716698206,351.3282614277828,367.2783213275867,315.0,307.0,0.00017946561210923766,,,,,,,,,,,,,,,,,230221_Ct
PPG1,2,60.0,0.2727763189999999,352.0380743188164,368.22734711532553,314.0,307.0,0.000248386938506233,,,,,,,,,,,,,,,,,230221_Ct
PPG1,3,90.0,0.2739148079999999,352.8126865072117,368.84247772205,315.0,310.0,0.00031434815673284273,,,,,,,,,,,,,,,,,230221_Ct
PPG1,4,120.0,0.276652827,351.9383287203709,370.0993503644858,316.0,311.0,0.000376402585449803,,,,,,,,,,,,,,,,,230221_Ct
PPG1,5,150.0,0.2803882,351.5013428860788,371.65129786296535,319.0,314.0,0.00043371601004712037,,,,,,,,,,,,,,,,,230221_Ct
PPG1,6,180.0,0.2837585038,352.05751264117964,372.5685263477084,321.0,317.0,0.0004825378076020868,,,,,,,,,,,,,,,,,230221_Ct
PPG1,7,210.0,0.2881336888,351.4460934146324,373.5746485668287,322.0,321.0,0.0005269151247560909,,,,,,,,,,,,,,,,,230221_Ct
PPG1,8,240.0,0.2926048456,350.8751431897172,374.2235942774154,325.0,324.0,0.0005713557542894489,,,,,,,,,,,,,,,,,230221_Ct
PPG1,9,270.0,0.2981505101999999,351.850693198116,375.7293098756098,327.0,327.0,0.0006254870564126261,,,,,,,,,,,,,,,,,230221_Ct
PPG1,10,300.0,0.3038184918,350.4621213593898,377.8482201187316,331.0,331.0,0.0006693073116321846,,,,,,,,,,,,,,,,,230221_Ct
PPG1,11,330.0,0.3087807983999999,350.6895958497149,376.9695171536178,332.0,333.0,0.0006878436159095726,,,,,,,,,,,,,,,,,230221_Ct
PPG1,12,360.0,0.3139463394,352.37696885320884,375.8283249072848,338.0,337.0,0.0006808899251944246,,,,,,,,,,,,,,,,,230221_Ct
PPG1,13,390.0,0.3213662768,352.71948415881855,374.9322703487268,341.0,341.0,0.000641641491699373,,,,,,,,,,,,,,,,,230221_Ct
PPG1,14,420.0,0.329324409,353.55614372725245,372.6778887002157,346.0,348.0,0.000574656102956389,,,,,,,,,,,,,,,,,230221_Ct
PPG1,15,450.0,0.3359238816,354.2153761948822,369.1256640224377,349.0,354.0,0.0004986046837479443,,,,,,,,,,,,,,,,,230221_Ct
PPG1,16,480.0,0.3429975677999999,354.25627026744473,365.6842665770701,352.0,359.0,0.0004281250498827801,,,,,,,,,,,,,,,,,230221_Ct
PPG1,17,510.0,0.3472786627999999,354.22063041414367,358.9639233352482,351.0,365.7727483528953,0.00038812121833979915,,,,,,,,,,,,,,,,,230221_Ct
PPG1,18,540.0,0.3488085662,354.7646308265924,351.9639772574946,348.0,372.0,0.0003993942318640864,,,,,,,,,,,,,,,,,230221_Ct
PPG1,19,570.0,0.3471412914,354.6246224546833,343.85549186587104,342.0,378.0,0.0004831370021185473,,,,,,,,,,,,,,,,,230221_Ct
PPG1,20,600.0,0.35415476,353.2594497480729,340.4278566487256,341.0,384.0,0.0005971707781859855,,,,,,,,,,,,,,,,,230221_Ct
PPG1,21,630.0,0.3638874296,351.2292504230188,338.0178439474636,345.0,393.0,0.0007284059793001712,,,,,,,,,,,,,,,,,230221_Ct
PPG1,22,660.0,0.3728259795999999,349.18655463434106,335.94775241633056,348.0,399.0,0.000866289308133243,,,,,,,,,,,,,,,,,230221_Ct
PPG1,23,690.0,0.3820355088,347.93542535127506,333.4979362314426,350.0,404.0,0.000992817453731455,,,,,,,,,,,,,,,,,230221_Ct
PPG1,24,720.0,0.3923477728,346.81646111437345,332.4094108984748,354.0,409.0,0.0010885642395766688,,,,,,,,,,,,,,,,,230221_Ct
PPG1,25,750.0,0.4045286642,345.59684863991663,332.13795630320635,360.0,417.0,0.0011689691092572152,,,,,,,,,,,,,,,,,230221_Ct
PPG1,26,780.0,0.4186798002,343.6877132780042,332.36747038427507,367.0,423.0,0.0011914172495281704,,,,,,,,,,,,,,,,,230221_Ct
PPG1,27,810.0,0.4347974172,342.88364378678045,333.3279322625034,377.0,429.0,0.0011646567284502325,,,,,,,,,,,,,,,,,230221_Ct
PPG1,28,840.0,0.4524637555999999,342.53122512127584,333.7892516950873,387.0,436.9742858301654,0.0010989815255845886,,,,,,,,,,,,,,,,,230221_Ct
PPG1,29,870.0,0.4673092758,340.92589142433883,334.20230998335046,394.0,443.0,0.0010148666772459656,,,,,,,,,,,,,,,,,230221_Ct
PPG1,30,900.0,0.4835360371999999,340.610251186582,334.6007012051523,404.0,450.0,0.0009071757996475353,,,,,,,,,,,,,,,,,230221_Ct
PPG1,31,930.0,0.4951241616,339.49906347961104,333.9170549591266,409.0,455.0,0.0008039397504690378,,,,,,,,,,,,,,,,,230221_Ct
PPG1,32,960.0,0.5070641826,338.82350486104235,333.5778298500487,414.0,459.0,0.000715606680119166,,,,,,,,,,,,,,,,,230221_Ct
PPG1,33,990.0,0.5185431626,338.5901054046354,333.2374373046075,418.0,466.834009673275,0.0006463539330313105,,,,,,,,,,,,,,,,,230221_Ct
PPG1,34,1020.0,0.5288949444,338.30683423100754,332.36735318446216,423.0,471.0,0.0005987732662229259,,,,,,,,,,,,,,,,,230221_Ct
PPG1,35,1050.0,0.5284169672,339.5440917073361,334.1574821556772,421.0,476.0,0.0005968796083333755,,,,,,,,,,,,,,,,,230221_Ct
PPG1,36,1080.0,0.5483508746,338.0895666211973,330.1142464469028,428.0,482.0,0.0005781109257560227,,,,,,,,,,,,,,,,,230221_Ct
PPG1,37,1110.0,0.5575867489999999,338.2709721869569,328.55107719108014,431.0,489.0,0.0005612770802713597,,,,,,,,,,,,,,,,,230221_Ct
PPG1,38,1140.0,0.5665403534,338.5027332553094,327.3083397441744,433.0,495.0,0.0005429676912229349,,,,,,,,,,,,,,,,,230221_Ct
PPG1,39,1170.0,0.5749670538,338.12287359827883,326.36015563982687,435.0,500.9295924470071,0.0005232176907462748,,,,,,,,,,,,,,,,,230221_Ct
PPG1,40,1200.0,0.5836063976,338.5203442208896,325.2475273858812,439.0,505.0,0.0004987840329183655,,,,,,,,,,,,,,,,,230221_Ct
PPG1,41,1230.0,0.5916398018,339.1228836175645,324.0854340228228,441.0,507.0,0.00047248480472076513,,,,,,,,,,,,,,,,,230221_Ct
PPG1,42,1260.0,0.6001888192,338.60864243983787,323.33023781434315,445.0,513.0,0.0004390695075832505,,,,,,,,,,,,,,,,,230221_Ct
PPG1,43,1290.0,0.6095413652,338.13879938058494,323.0757666715817,449.0,516.0,0.0003986675526517338,,,,,,,,,,,,,,,,,230221_Ct
PPG1,44,1320.0,0.618048983,337.6835782137218,323.3833767862642,452.0,520.0,0.0003563117758390072,,,,,,,,,,,,,,,,,230221_Ct
PPG1,45,1350.0,0.623553248,338.1017550797323,322.4404116651557,454.0,522.5081981747021,0.00032223345072955015,,,,,,,,,,,,,,,,,230221_Ct
PPG1,46,1380.0,0.6293548374,338.4388913894688,321.5719083111761,457.0,525.4474037278483,0.0002756563383316311,,,,,,,,,,,,,,,,,230221_Ct
PPG1,47,1410.0,0.6343020895999999,339.5156173464245,321.0351836282233,459.0,527.0,0.00023626260776366415,,,,,,,,,,,,,,,,,230221_Ct
PPG1,48,1440.0,0.6388315821999999,339.59558137809387,320.3055392926016,460.0,529.0,0.00020239331039668385,,,,,,,,,,,,,,,,,230221_Ct
PPG1,49,1470.0,0.6430976228,339.6109786623488,320.0808125065283,462.0,531.0,0.00017407857452504558,,,,,,,,,,,,,,,,,230221_Ct
PPG1,50,1500.0,0.645824351,340.26865144566057,319.31129422665265,463.0,532.7391640022076,0.00015463549279836022,,,,,,,,,,,,,,,,,230221_Ct
PPG1,51,1530.0,0.6494618704,339.58921809249426,319.1454735121611,465.0,533.0,0.00014149822351936891,,,,,,,,,,,,,,,,,230221_Ct
PPG1,52,1560.0,0.6524313508,339.82568628635545,318.7136844937924,466.0,535.0,0.00013384427820190253,,,,,,,,,,,,,,,,,230221_Ct
