Ind,lum,whiteR,whiteG,whiteB
PPG1,173.53915492957745,173.24957746478873,174.35887323943663,173.00901408450704
PPG2,172.66221308667352,172.05378554299418,172.66221308667352,173.27064063035286
PPG3,173.44960079840317,173.36901197604791,173.22529940119762,173.75449101796409
PPG4,172.93320457106066,172.5905359729599,173.61178174794784,172.59729599227427
PPG5,171.88674956544992,172.02968311271562,171.3818692338548,172.24869634977938
PPG6,173.3018652455272,173.10296916634945,173.6456033498287,173.1570232204035
PPG7,174.96773787019535,174.63213610586013,175.73837429111532,174.53270321361055
PPG8,173.8449126803341,173.79157175398635,173.74715261958997,173.99601366742596
PPG9,172.6102620087336,172.1697598253275,173.44541484716157,172.21561135371178
PPG10,170.0600764609503,170.3801201529219,169.63517203713818,170.16493719279083
PPG11,170.72875000000002,170.32875,171.5175,170.34
PPG12,173.24437396163725,173.15360217489805,173.21205256003626,173.36746714997736
PPG13,172.60047449584818,172.55729537366548,172.56512455516014,172.67900355871888
PPG14,171.87818235642393,171.1802841918295,172.65674955595026,171.797513321492
PPG15,172.22720341567552,172.97529734675206,172.1408966148216,171.56541628545287
PPG16,174.63502506265664,174.68671679197996,174.5607769423559,174.6575814536341
PPG17,176.4120244906153,176.22192110809996,176.3739837398374,176.64016862390847
PPG18,176.36725427350427,176.16466346153845,176.43108974358975,176.5060096153846
PPG19,173.58193548387098,173.50967741935483,173.61290322580646,173.62322580645161
PPG20,174.00374822282538,173.98255137650253,174.39007367196587,173.63861962000774
PPG21,175.3606714628297,175.66438848920862,175.2705035971223,175.14712230215827
PPG22,172.52776675922254,172.5119000396668,173.4379214597382,171.6334787782626
PPG23,171.1340747605808,171.16404077849862,171.10843373493975,171.12974976830398
PPG24,173.3083153347732,173.20302375809936,173.3547516198704,173.3671706263499
PPG25,172.2413457798522,171.94282380396731,172.10501750291715,172.67619603267212
PPG26,175.62508662508662,175.68191268191268,175.07345807345808,176.1198891198891
PPG27,175.551313516953,175.96236705754023,174.96536678483776,175.72620670848104
PPG28,173.0572814261371,173.03735745182854,172.5611482500983,173.57333857648447
PPG29,172.07288428324696,171.89188255613126,172.026597582038,172.30017271157166
