Ind,lum,whiteR,whiteG,whiteB
PPG1,163.81778929188255,164.80569948186528,163.88860103626942,162.75906735751295
PPG2,169.22181964573267,169.6014492753623,169.63888888888889,168.42512077294685
PPG3,160.11510128913446,162.15469613259668,159.86740331491714,158.3232044198895
PPG5,169.91919191919192,170.1142191142191,170.73892773892774,168.9044289044289
PPG6,166.4956610515569,167.47013782542112,166.50842266462482,165.50842266462482
PPG8,163.75641025641028,164.10164835164835,163.5989010989011,163.5686813186813
PPG9,165.61687917425624,165.8360655737705,165.87067395264117,165.14389799635703
PPG11,161.04810996563575,161.2556701030928,161.45773195876288,160.43092783505153
PPG12,159.61773700305812,160.73700305810397,160.21406727828747,157.90214067278288
PPG13,161.99649583880858,163.5545335085414,162.98291721419184,159.4520367936925
PPG14,166.20749565649044,167.60387192851823,166.2211466865227,164.79746835443038
PPG15,163.97783808231569,165.46132971506105,163.95793758480326,162.51424694708277
PPG16,165.93739967897272,167.12038523274478,166.46548956661317,164.2263242375602
PPG17,166.39555555555555,167.10222222222222,167.51111111111112,164.57333333333332
PPG18,166.74295774647888,167.60739436619718,168.30457746478874,164.31690140845072
PPG19,167.2640056022409,168.17016806722688,168.85854341736695,164.76330532212884
PPG20,165.33893195521102,166.53229974160206,166.21447028423773,163.27002583979328
PPG21,171.10399159663862,171.4579831932773,171.40861344537817,170.4453781512605
PPG22,168.70701107011072,169.38044280442804,168.82361623616237,167.9169741697417
PPG23,167.08262711864407,168.47457627118644,166.70550847457628,166.0677966101695
PPG24,162.73482959268495,163.96758104738154,162.58354114713217,161.65336658354116
PPG25,165.53403755868544,166.69718309859155,165.5105633802817,164.3943661971831
PPG26,147.54617117117118,147.94256756756758,147.58445945945945,147.11148648648648
PPG27,168.0793928779918,168.86690017513135,167.76707530647985,167.60420315236428
PPG28,167.51204819277106,168.01807228915663,168.40963855421685,166.10843373493975
PPG29,164.89672447013484,166.31329479768786,165.478612716763,162.89826589595376
PPG30,166.14965986394557,167.39495798319328,166.4921968787515,164.56182472989195
PPG31,162.11607142857144,163.24330357142858,163.12053571428572,159.984375
PPG32,163.42151162790697,164.28197674418604,163.54941860465115,162.4331395348837
PPG33,164.46828908554573,165.92920353982302,164.60398230088495,162.8716814159292
PPG34,164.08233731739708,164.80278884462152,165.0597609561753,162.38446215139442
PPG35,167.9258600237248,168.067615658363,169.39501779359432,166.31494661921707
PPG36,167.43194268857985,167.43489254108724,168.32237673830593,166.53855878634639
PPG37,163.233469665985,164.92433537832312,163.41411042944785,161.36196319018404
PPG38,157.0483184333759,157.9125159642401,157.07024265644955,156.16219667943807
PPG39,164.73153759820426,166.03030303030303,164.53468013468014,163.62962962962962
PPG40,167.58342728297632,168.6803833145434,167.43968432919954,166.630214205186
PPG41,164.8442273979464,166.05785123966942,164.56048084147258,163.9143501126972
PPG42,168.2160264353573,168.8624535315985,167.6629491945477,168.12267657992564
PPG43,161.52950371238765,162.28722157092614,161.72684642438452,160.5744431418523
PPG44,162.1401515151515,163.27534965034965,162.22465034965035,160.92045454545453
PPG45,165.92407743496673,166.8738656987296,165.59800362976407,165.30036297640655
PPG46,160.24513618677045,160.8767833981842,160.55512321660183,159.30350194552528
PPG47,166.1445292620865,166.84274809160306,166.59847328244274,164.99236641221373
PPG48,167.6381597516229,168.47586790855206,167.4792548687553,166.95935647756139
PPG49,168.44033412887828,169.01193317422434,168.59546539379474,167.71360381861575
PPG50,162.2304964539007,163.46808510638297,162.5531914893617,160.67021276595744
PPG51,156.39095415117723,157.91263940520446,156.65985130111525,154.6003717472119
