Ind,lum,whiteR,whiteG,whiteB
PPG1,167.55459272097053,167.9272097053726,167.18024263431542,167.55632582322357
PPG2,168.02251635478473,168.77133728890917,168.19351894112276,167.10269283432223
PPG3,166.52608456891815,166.69522240527183,167.34019769357496,165.54283360790774
PPG5,167.39952565761106,167.63971539456662,168.00840879689522,166.5504527813713
PPG6,161.9973980919341,163.04249783174328,162.20901994796185,160.74067649609714
PPG7,162.3575624082232,163.24229074889868,162.08149779735683,161.7488986784141
PPG8,165.71325898389094,166.33903345724906,165.59033457249072,165.2104089219331
PPG9,166.3062838119018,166.80711610486892,166.37702871410735,165.73470661672908
PPG11,168.29381058911258,168.3612975391499,168.97539149888144,167.54474272930648
PPG12,166.8421052631579,167.3684210526316,167.66361556064072,165.49427917620136
PPG13,165.53786906290114,166.8806161745828,164.92554557124518,164.8074454428755
PPG14,160.40372670807454,160.4472049689441,160.47826086956522,160.28571428571428
PPG15,166.29390681003585,167.56720430107526,166.01612903225808,165.2983870967742
PPG16,162.04012345679016,162.47685185185185,161.97453703703704,161.6689814814815
PPG17,162.54720616570327,163.71098265895955,162.4364161849711,161.4942196531792
PPG18,157.91725768321513,158.10283687943263,158.25177304964538,157.39716312056737
PPG19,162.640350877193,163.13815789473685,162.60087719298247,162.18201754385964
PPG20,165.56382978723403,166.51489361702127,165.6468085106383,164.52978723404254
PPG21,163.07067618076792,164.14169215086648,162.80428134556576,162.26605504587155
PPG22,163.55861165684348,164.65422396856582,164.06483300589392,161.9567779960707
PPG23,163.81521739130434,165.11304347826086,164.1253623188406,162.20724637681158
PPG24,166.6904761904762,167.70581113801452,166.85593220338984,165.50968523002422
PPG25,161.72401433691755,163.53225806451613,162.10752688172042,159.53225806451613
PPG26,163.8737292669877,165.12841091492777,163.58908507223114,162.9036918138042
PPG27,166.28751537515373,166.57564575645756,166.82380073800738,165.4630996309963
PPG28,161.02141680395388,161.93245469522242,161.9818780889621,159.1499176276771
PPG29,166.20398310199155,166.59022329511166,166.91671695835848,165.10500905250453
PPG30,166.62857142857146,167.4857142857143,166.6989010989011,165.7010989010989
PPG31,164.7640449438202,164.97191011235955,166.25842696629215,163.06179775280899
PPG32,165.7401774397972,166.7338403041825,165.8022813688213,164.68441064638785
PPG33,161.95563339171045,164.04203152364272,161.90542907180387,159.91943957968476
PPG34,159.2325349301397,160.96706586826346,159.375249500998,157.3552894211577
PPG35,164.88252569750367,164.77533039647577,165.36563876651982,164.5066079295154
PPG36,163.22061855670106,164.3237113402062,163.5257731958763,161.81237113402062
PPG37,166.18928481172608,166.4541319181198,167.5784685367703,164.5352539802881
PPG38,165.69738339021615,166.20136518771332,166.80546075085323,164.08532423208192
PPG39,164.1991150442478,165.30973451327435,164.02212389380531,163.26548672566372
PPG40,161.02268124746863,161.49088699878493,161.5066828675577,160.07047387606318
PPG41,161.30357142857142,162.16233766233765,161.50811688311688,160.24025974025975
PPG42,164.31547619047618,165.21428571428572,164.6904761904762,163.04166666666666
PPG43,164.20560747663552,164.8551401869159,164.22663551401868,163.53504672897196
PPG44,154.34934086629002,155.0141242937853,154.64406779661016,153.38983050847457
PPG45,162.3798449612403,163.12093023255815,163.0093023255814,161.0093023255814
PPG46,165.64669519733715,166.4564907275321,165.7546362339515,164.7289586305278
PPG47,165.62459546925564,166.27378640776698,165.7864077669903,164.8135922330097
PPG48,159.82122260668973,161.14273356401384,159.65570934256056,158.6652249134948
PPG49,165.35632946379215,165.75190713101162,165.79635157545604,164.5207296849088
PPG50,159.26896551724138,159.85103448275862,159.3544827586207,158.60137931034484
PPG51,164.91938178780285,165.84461152882204,164.94736842105263,163.96616541353384
PPG52,162.75555555555556,163.36933333333334,163.30933333333334,161.588
PPG53,159.7008547008547,160.13888888888889,160.0940170940171,158.8696581196581
PPG54,165.53760683760683,166.50512820512822,165.2871794871795,164.82051282051282
PPG55,167.78080808080807,168.8212121212121,167.95757575757577,166.56363636363636
