Ind,lum,whiteR,whiteG,whiteB
PPG1,162.60796915167094,163.413881748072,162.2095115681234,162.20051413881748
PPG2,166.1824062095731,166.59508408796896,166.15653298835704,165.79560155239326
PPG3,165.97050754458158,166.80864197530863,165.19753086419752,165.90534979423867
PPG5,167.11530398322853,167.63731656184487,167.28092243186583,166.42767295597486
PPG6,163.8734968734969,164.00288600288602,164.46753246753246,163.15007215007216
PPG8,161.8625,161.52125,162.1525,161.91375
PPG9,163.7683615819209,163.17796610169492,164.20338983050848,163.92372881355934
PPG11,157.99160493827162,158.1674074074074,158.40444444444444,157.40296296296296
PPG12,158.4503745318352,158.4691011235955,159.11797752808988,157.76404494382024
PPG13,160.31295200525972,160.68639053254438,160.64694280078896,159.60552268244575
PPG14,164.12747631352283,164.90439276485787,164.04134366925064,163.43669250645993
PPG15,162.40144927536232,163.95507246376812,161.9623188405797,161.28695652173914
PPG16,165.07386363636363,166.22727272727272,165.1193181818182,163.875
PPG17,164.10249177244944,165.7108603667137,163.6290550070522,162.9675599435825
PPG18,164.239898989899,165.1780303030303,164.99621212121212,162.54545454545453
PPG19,165.62322338428532,165.9839098954143,166.83668543845536,164.04907481898633
PPG20,162.6700294241278,163.7894073139975,162.8562421185372,161.36443883984867
PPG21,169.078691423519,168.69230769230768,170.18037135278516,168.3633952254642
PPG22,161.5648148148148,162.65555555555557,160.9611111111111,161.07777777777778
PPG23,164.89855072463766,166.41304347826087,164.43478260869566,163.84782608695653
PPG24,161.55244029075803,162.17133956386292,161.42523364485982,161.0607476635514
PPG25,165.64013266998344,166.58457711442787,165.726368159204,164.60945273631842
PPG26,165.21830065359478,165.7372549019608,165.23529411764707,164.68235294117648
PPG27,165.24160206718344,166.38372093023256,165.15891472868216,164.18217054263565
PPG28,165.79669030732862,165.86170212765958,166.63829787234042,164.89007092198582
PPG29,164.61534473820632,165.4945567651633,164.67807153965785,163.67340590979782
PPG30,165.59407665505228,166.0871080139373,165.65505226480838,165.04006968641116
PPG31,164.84118404118405,164.8779922779923,165.55289575289575,164.09266409266408
PPG32,161.89036678758566,162.88029020556226,161.76178960096735,161.02902055622732
PPG33,164.08369512783406,165.30752532561505,164.04196816208395,162.9015918958032
PPG34,162.9698245614035,164.13052631578947,163.0884210526316,161.69052631578947
PPG35,167.2863564846033,167.32231962238706,168.3243425488874,166.2124072825354
PPG36,165.33333333333334,165.6057347670251,165.98387096774192,164.41039426523298
PPG37,161.45768566493953,162.9222797927461,161.08290155440415,160.3678756476684
PPG38,165.64486517498565,166.7314974182444,165.61101549053356,164.592082616179
PPG39,162.01870407481627,163.30861723446893,161.76052104208418,160.9869739478958
PPG40,157.10834715312328,157.81260364842456,157.16915422885572,156.34328358208955
PPG41,162.31078224101478,163.76955602536998,162.04862579281183,161.11416490486258
PPG42,167.22354104846684,168.00890207715133,166.59940652818992,167.06231454005933
PPG43,161.04854368932038,161.51672060409925,160.9039913700108,160.72491909385113
PPG44,166.06487695749442,166.53691275167785,165.76174496644296,165.89597315436242
PPG45,164.78044871794873,165.64102564102564,164.07532051282053,164.625
PPG46,165.47377326565143,166.12690355329948,165.01015228426397,165.28426395939087
PPG47,165.30769230769232,165.51969981238273,165.4409005628518,164.9624765478424
PPG48,163.95714285714288,165.12857142857143,163.69642857142858,163.04642857142858
PPG49,165.61936936936937,166.20945945945945,165.92567567567568,164.72297297297297
PPG50,160.80229885057472,162.18793103448274,160.72413793103448,159.4948275862069
PPG51,160.55310385407472,160.90114739629303,160.59223300970874,160.16593115622243
