Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,GR_Full,tdeb_flat,tdebShift_flat,ChipRow,GR_end,tdeb_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,A0fit,fitR2,Expe
PPG1,0,0.0,0.3670827259999999,253.71208421675365,293.45981300371415,389.0,358.76725971791586,0.0001321690642187299,59.38688919181499,0.0,9.0,0.2873226966058966,95.0,1.0,0.007661974822225674,ExpDel,59.38688919181499,0.0,4459.357309731655,0.3670827351710507,0.994,230301_ABA_P2
PPG1,1,30.0,0.3685411209999999,254.2827244525736,293.5529304811971,391.0,359.6657825508987,0.00025990736383910324,,,,,,,,,,,,,,230301_ABA_P2
PPG1,2,60.0,0.3714259204,255.4511160538748,292.6488206828343,390.0,361.0,0.00024733699682299954,,,,,,,,,,,,,,230301_ABA_P2
PPG1,3,90.0,0.3741921663999999,256.8508777760594,291.5089821374727,394.0,361.0,0.00015870517680221342,,,,,,,,,,,,,,230301_ABA_P2
PPG1,4,120.0,0.3759779946,255.5455608881555,289.79226456850733,394.0,362.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG2,0,0.0,0.4032057588,295.5628289231734,291.3360446487357,367.0,416.0,0.0005545062665732303,54.3863101218387,0.0,9.0,0.8405126952864378,95.0,1.0,0.02403581129463951,ExpDel,54.3863101218387,0.0,1657.8561791710047,0.4032057589748317,0.998,230301_ABA_P2
PPG2,1,30.0,0.409968948,298.63120338162764,289.4765868564649,372.0,418.6552378183511,0.0004982803043991327,,,,,,,,,,,,,,230301_ABA_P2
PPG2,2,60.0,0.4161431338,301.1904670142506,286.6614795641049,376.0,421.0,0.0006845366922469291,,,,,,,,,,,,,,230301_ABA_P2
PPG2,3,90.0,0.4247768322,303.58675881598333,282.1089679455895,383.0,426.7004997409102,0.0005974342236874794,,,,,,,,,,,,,,230301_ABA_P2
PPG2,4,120.0,0.4324583398,302.57155674374724,276.15742926424207,388.0,429.0,,,,,,,,,,,,,,,230301_ABA_P2
