Ind,lum,whiteR,whiteG,whiteB
PPG1,172.14443295415376,172.9886246122027,171.74043433298863,171.70423991726992
PPG2,173.0804794520548,173.80479452054794,172.77739726027397,172.65924657534248
PPG3,171.6386025200458,171.41408934707903,172.29896907216494,171.20274914089347
PPG5,171.9791279189915,171.77185368877866,172.97520148791074,171.19032858028518
PPG6,166.5331664580726,167.97371714643305,166.27409261576972,165.351689612015
PPG7,166.6210720887246,167.21441774491683,166.14787430683919,166.50092421441775
PPG8,169.41532091097307,170.09875776397516,169.6416149068323,168.5055900621118
PPG9,171.58200636942675,171.906050955414,171.82165605095543,171.01831210191082
PPG11,173.160409556314,173.13993174061434,173.78498293515358,172.55631399317406
PPG12,171.0579196217494,171.61347517730496,171.81560283687944,169.74468085106383
PPG13,169.36971484759096,170.6769911504425,168.641592920354,168.7905604719764
PPG14,165.42702702702704,166.63243243243244,165.16216216216216,164.48648648648648
PPG15,171.17777777777778,172.43636363636364,170.76969696969698,170.3272727272727
PPG16,164.30666666666667,164.81411764705882,164.6564705882353,163.44941176470587
PPG17,165.9362591431557,167.25705329153604,165.51097178683386,165.04075235109718
PPG18,163.20194647201947,163.67883211678833,163.03284671532847,162.8941605839416
PPG19,167.59923664122138,168.32824427480915,167.49936386768448,166.97010178117048
PPG20,170.37154150197628,171.04460756634668,170.3845285149633,169.68548842461885
PPG21,170.01471529110685,170.8464491362764,169.65547024952016,169.542226487524
PPG22,167.95865633074933,168.6531007751938,168.54457364341084,166.6782945736434
PPG23,167.24078341013825,168.09101382488478,167.14285714285714,166.4884792626728
PPG24,171.84547311095983,172.8992511912866,172.03063308373044,170.6065350578625
PPG25,168.76976365118176,169.38264058679707,168.9119804400978,168.01466992665036
PPG26,168.9265734265734,170.2674825174825,168.54195804195805,167.97027972027973
PPG27,173.48082595870207,174.34867256637168,173.9203539823009,172.17345132743364
PPG28,167.73734803505795,168.09754028837997,168.5665818490246,166.5479219677693
PPG29,167.60449050086356,168.31865284974094,168.71243523316062,165.78238341968913
PPG30,171.56782652546644,172.38275340393344,171.68683812405447,170.6338880484115
PPG31,170.09645554909937,170.93898895990702,171.1952353282975,168.15514235909356
PPG32,170.1340866290019,170.82485875706215,169.98870056497177,169.58870056497176
PPG33,165.75639557082857,167.03092783505156,165.75601374570448,164.48224513172966
PPG34,164.8352549321035,166.13143735588008,165.05918524212146,163.315142198309
PPG35,170.45315581854044,171.2647928994083,170.4112426035503,169.68343195266272
PPG36,169.5564738292011,170.50413223140495,169.85674931129478,168.30853994490357
PPG37,172.24709411323582,172.6861642294713,173.51968503937007,170.53543307086613
PPG38,171.318359375,172.41015625,171.654296875,169.890625
PPG39,169.7662785683484,171.3117723156533,169.3091849935317,168.6778783958603
PPG40,166.34888370543152,166.92569143618795,166.5014995001666,165.61946017994
PPG41,168.72723673792555,169.24346793349167,168.69002375296913,168.2482185273159
PPG42,169.2199134199134,170.3974025974026,169.5012987012987,167.76103896103896
PPG43,170.91820987654322,171.63657407407408,170.88657407407408,170.2314814814815
PPG44,164.93699515347336,166.26494345718902,164.54765751211633,163.9983844911147
PPG45,168.1728795245813,168.24149108589953,168.7390599675851,167.53808752025932
PPG46,165.0101265822785,166.126582278481,164.96708860759495,163.9367088607595
PPG47,171.6912457912458,172.40656565656565,171.77020202020202,170.8969696969697
PPG48,167.7842535787321,169.10224948875256,167.59509202453987,166.65541922290387
PPG49,171.37766648117233,171.7384529771842,171.73511407902058,170.6594323873122
PPG50,162.7610759493671,163.47943037974684,162.87183544303798,161.93196202531647
PPG51,166.0909853249476,167.35849056603774,165.89056603773585,165.02389937106918
PPG52,166.15722062119755,166.9702209414025,166.28146013448608,165.21998078770412
PPG53,164.58732694355697,164.92012779552715,164.94728434504793,163.89456869009584
PPG54,168.94491927825263,170.25925925925927,168.92022792022792,167.65527065527064
PPG55,171.41647940074907,172.44719101123596,171.1573033707865,170.6449438202247
