Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,AspectRatio,Solidity,Circularity,Convexity,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,G,A0fit,fitR2,Expe
PPG2,0,29.0,0.1955641832,249.4540939106809,333.4112025553264,264.0,268.0,1.0150943396226415,3.669672431134129,2.905652103023369,0.8980811924127766,8.076680708571002e-05,785.7139384828097,25.0,0.15456349739213995,0.0,0.7563949717866932,112.0,,2.0,0.006298903966940199,ExpDel,785.7139384828097,25.0,1102.9705777304744,1.3055651973627562,0.20925893417657324,0.983,240305_Flux
PPG2,1,59.0,0.1970150509999999,248.88878136398716,333.4042620488193,266.0,270.0,1.0149812734082395,3.671338743640869,2.945943369996724,0.9038279830082904,7.581699635408097e-05,,,,,,,,,,,,,,,,,240305_Flux
PPG2,2,89.0,0.1973782384,249.379338975432,334.13718220978654,266.0,269.0,1.0112359550561798,3.667036477473293,2.917718281258417,0.8999346231289582,9.841563762570798e-05,,,,,,,,,,,,,,,,,240305_Flux
PPG2,3,119.0,0.1976981444,249.1720989884428,334.0903069783991,267.0,270.0,1.0111940298507462,3.6647754567109394,2.9067556907736583,0.8985045493574056,0.0001405533279230576,,,,,,,,,,,,,,,,,240305_Flux
PPG2,4,149.0,0.1980425138,248.96330012890496,334.39820352948453,266.0,270.0,1.0149812734082395,3.66206258933607,2.918577675461113,0.9005150764933201,0.00019416294405027147,,,,,,,,,,,,,,,,,240305_Flux
PPG2,5,179.0,0.1993898825999999,247.94212660255025,333.8882893407149,267.0,271.0,1.0149253731343284,3.674339729662493,2.984612986056893,0.9094463096977354,0.00025124972329937503,,,,,,,,,,,,,,,,,240305_Flux
PPG2,6,209.0,0.200251747,248.78665575063852,334.97981173824235,268.0,271.0,1.0111524163568772,3.665331972764213,2.90796913525123,0.8985155419882442,0.0003002264744957331,,,,,,,,,,,,,,,,,240305_Flux
PPG2,7,239.0,0.2026246968,247.85870713531924,334.9413107522539,268.0,273.0,1.0185873605947957,3.674998128264655,2.969452288460414,0.9069526212840664,0.00033544362934221034,,,,,,,,,,,,,,,,,240305_Flux
PPG2,8,269.0,0.2052799166,247.9007296957314,334.9363605226339,270.0,275.9010705601979,1.022140221402214,3.673256090185202,2.962940926925098,0.9060371147397482,0.0003513399141239502,,,,,,,,,,,,,,,,,240305_Flux
PPG2,9,299.0,0.2076773297999999,247.90189105710888,335.36791653498886,270.0,276.0,1.022140221402214,3.6750219835251854,2.949838745297864,0.9037586484675464,0.0003499577631629262,,,,,,,,,,,,,,,,,240305_Flux
PPG2,10,329.0,0.2098602177999999,247.94956058917387,335.5137640091434,272.0,278.0,1.021978021978022,3.674473724020801,2.959951760884119,0.9054641568958504,0.00033008489348148456,,,,,,,,,,,,,,,,,240305_Flux
PPG2,11,359.0,0.2115274926,248.4309775530867,335.76764364717354,272.0,280.0,1.0293040293040292,3.67362786731504,2.948026491137634,0.903980727671438,0.00029412399120556964,,,,,,,,,,,,,,,,,240305_Flux
